GbCity_EN,Beijingshi_110000,Tianjinshi_120000,Shijiazhuangshi_130100,Tangshanshi_130200,Qinhuangdaoshi_130300,Handanshi_130400,Xingtaishi_130500,Baodingshi_130600,Zhangjiakoushi_130700,Chengdeshi_130800,Cangzhoushi_130900,Langfangshi_131000,Hengshuishi_131100,Taiyuanshi_140100,Datongshi_140200,Yangquanshi_140300,Zhangzhishi_140400,Jinchengshi_140500,Shuozhoushi_140600,Jinzhongshi_140700,Yunchengshi_140800,Xinzhoushi_140900,Linfenshi_141000,Lvliangshi_141100,Huhehaoteshi_150100,Baotoushi_150200,Wuhaishi_150300,Chifengshi_150400,Tongliaoshi_150500,Eerduosishi_150600,Hulunbeiershi_150700,Bayannaoershi_150800,Wulanchabushi_150900,Xinganmeng_152200,Xilinguoleimeng_152500,Alashanmeng_152900,Shenyangshi_210100,Dalianshi_210200,Anshanshi_210300,Fushunshi_210400,Benxishi_210500,Dandongshi_210600,Jinzhoushi_210700,Yingkoushi_210800,Fuxinshi_210900,Liaoyangshi_211000,Panjinshi_211100,Tielingshi_211200,Zhaoyangshi_211300,Huludaoshi_211400,Changchunshi_220100,Jilinshi_220200,Sipingshi_220300,Liaoyuanshi_220400,Tonghuashi_220500,Baishanshi_220600,Songyuanshi_220700,Baichengshi_220800,Yanbianchaoxianzuzizhizhou_222400,Haerbinshi_230100,Qiqihaershi_230200,Jixishi_230300,Hegangshi_230400,Shuangyashanshi_230500,Daqingshi_230600,Yichunshi_230700,Jiamusishi_230800,Qitaiheshi_230900,Mudanjiangshi_231000,Heiheshi_231100,Suihuashi_231200,Daxinganlingdiqu_232700,Shanghaishi_310000,Nanjingshi_320100,Wuxishi_320200,Xuzhoushi_320300,Changzhoushi_320400,Suzhoushi_320500,Nantongshi_320600,Lianyungangshi_320700,Huaianshi_320800,Yanchengshi_320900,Yangzhoushi_321000,Zhenjiangshi_321100,Taizhoushi_321200,Suqianshi_321300,Hangzhoushi_330100,Ningboshi_330200,Wenzhoushi_330300,Jiaxingshi_330400,Huzhoushi_330500,Shaoxingshi_330600,Jinhuashi_330700,Quzhoushi_330800,Zhoushanshi_330900,Taizhoushi_331000,Lishuishi_331100,Hefeishi_340100,Wuhushi_340200,Bengbushi_340300,Huainanshi_340400,Maanshanshi_340500,Huaibeishi_340600,Tonglingshi_340700,Anqingshi_340800,Huangshanshi_341000,Chuzhoushi_341100,Fuyangshi_341200,Suzhoushi_341300,Luanshi_341500,Bozhoushi_341600,Chizhoushi_341700,Xuanchengshi_341800,Fuzhoushi_350100,Xiamenshi_350200,Putianshi_350300,Sanmingshi_350400,Quanzhoushi_350500,Zhangzhoushi_350600,Nanpingshi_350700,Longyanshi_350800,Ningdeshi_350900,Nanchangshi_360100,Jingdezhenshi_360200,Pingxiangshi_360300,Jiujiangshi_360400,Xinyushi_360500,Yingtanshi_360600,Ganzhoushi_360700,Jianshi_360800,Yichunshi_360900,Fuzhoushi_361000,Shangraoshi_361100,Jinanshi_370100,Qingdaoshi_370200,Ziboshi_370300,Zaozhuangshi_370400,Dongyingshi_370500,Yantaishi_370600,Weifangshi_370700,Jiningshi_370800,Taianshi_370900,Weihaishi_371000,Rizhaoshi_371100,Linyishi_371300,Dezhoushi_371400,Liaochengshi_371500,Binzhoushi_371600,Hezeshi_371700,Zhengzhoushi_410100,Kaifengshi_410200,Luoyangshi_410300,Pingdingshanshi_410400,Anyangshi_410500,Hebishi_410600,Xinxiangshi_410700,Jiaozuoshi_410800,Puyangshi_410900,Xuchangshi_411000,Taheshi_411100,Sanmenxiashi_411200,Nanyangshi_411300,Shangqiushi_411400,Xinyangshi_411500,Zhoukoushi_411600,Zhumadianshi_411700,Jiyuanshi_419001,Wuhanshi_420100,Huangshishi_420200,Shiyanshi_420300,Yichangshi_420500,Xiangyangshi_420600,Ezhoushi_420700,Jingmenshi_420800,Xiaoganshi_420900,Jingzhoushi_421000,Huanggangshi_421100,Xianningshi_421200,Suizhoushi_421300,Enshitujiazumiaozuzizhizhou_422800,Xiantaoshi_429004,Qianjiangshi_429005,Tianmenshi_429006,Shennongjialinqu_429021,Changshashi_430100,Zhuzhoushi_430200,Xiangtanshi_430300,Hengyangshi_430400,Shaoyangshi_430500,Yueyangshi_430600,Changdeshi_430700,Zhangjiajieshi_430800,Yiyangshi_430900,Chenzhoushi_431000,Yongzhoushi_431100,Huaihuashi_431200,Loudishi_431300,Xiangxitujiazumiaozuzizhizhou_433100,Guangzhoushi_440100,Shaoguanshi_440200,Shenzhenshi_440300,Zhuhaishi_440400,Shantoushi_440500,Foshanshi_440600,Jiangmenshi_440700,Zhanjiangshi_440800,Maomingshi_440900,Zhaoqingshi_441200,Huizhoushi_441300,Meizhoushi_441400,Shanweishi_441500,Heyuanshi_441600,Yangjiangshi_441700,Qingyuanshi_441800,Dongguanshi_441900,Zhongshanshi_442000,Chaozhoushi_445100,Jieyangshi_445200,Yunfushi_445300,Nanningshi_450100,Liuzhoushi_450200,Guilinshi_450300,Wuzhoushi_450400,Beihaishi_450500,Fangchenggangshi_450600,Qinzhoushi_450700,Guigangshi_450800,Yulinshi_450900,Baiseshi_451000,Hezhoushi_451100,Hechishi_451200,Laibinshi_451300,Chongzuoshi_451400,Haikoushi_460100,Sanyashi_460200,Sanshashi_460300,Danzhoushi_460400,Wuzhishanshi_469001,Qionghaishi_469002,Wenchangshi_469005,Wanningshi_469006,Dongfangshi_469007,Dinganxian_469021,Tunchangxian_469022,Chengmaixian_469023,Lingaoxian_469024,Baishalizuzizhixian_469025,Changjianglizuzizhixian_469026,Ledonglizuzizhixian_469027,Lingshuilizuzizhixian_469028,Baotinglizumiaozuzizhixian_469029,Qiongzhonglizumiaozuzizhixian_469030,Chongqingshi_500000,Chengdushi_510100,Zigongshi_510300,Panzhihuashi_510400,Luzhoushi_510500,Deyangshi_510600,Mianyangshi_510700,Guangyuanshi_510800,Suiningshi_510900,Neijiangshi_511000,Leshanshi_511100,Nanchongshi_511300,Meishanshi_511400,Yibinshi_511500,Guanganshi_511600,Dazhoushi_511700,Yaanshi_511800,Bazhongshi_511900,Ziyangshi_512000,Abazangzuqiangzuzizhizhou_513200,Ganzizangzuzizhizhou_513300,Liangshanyizuzizhizhou_513400,Guiyangshi_520100,Liupanshuishi_520200,Zunyishi_520300,Anshunshi_520400,Bijieshi_520500,Tongrenshi_520600,Qianxinanbuyizumiaozuzizhizhou_522300,Qiandongnanmiaozudongzuzizhizhou_522600,Qiannanbuyizumiaozuzizhizhou_522700,Kunmingshi_530100,Qujingshi_530300,Yuxishi_530400,Baoshanshi_530500,Zhaotongshi_530600,Lijiangshi_530700,Puershi_530800,Lincangshi_530900,Chuxiongyizuzizhizhou_532300,Honghehanizuyizuzizhizhou_532500,Wenshanzhuangzumiaozuzizhizhou_532600,Xishuangbannadaizuzizhizhou_532800,Dalibaizuzizhizhou_532900,Dehongdaizujingpozuzizhizhou_533100,Nujianglisuzuzizhizhou_533300,Diqingzangzuzizhizhou_533400,Lasashi_540100,Rikazeshi_540200,Changdoushi_540300,Linzhishi_540400,Shannanshi_540500,Naqushi_540600,Alidiqu_542500,Xianshi_610100,Tongchuanshi_610200,Baojishi_610300,Xianyangshi_610400,Weinanshi_610500,Yananshi_610600,Hanzhongshi_610700,Yulinshi_610800,Ankangshi_610900,Shangluoshi_611000,Lanzhoushi_620100,Jiayuguanshi_620200,Jinchangshi_620300,Baiyinshi_620400,Tianshuishi_620500,Wuweishi_620600,Zhangyeshi_620700,Pingliangshi_620800,Jiuquanshi_620900,Qingyangshi_621000,Dingxishi_621100,Longnanshi_621200,Linxiahuizuzizhizhou_622900,Gannanzangzuzizhizhou_623000,Xiningshi_630100,Haidongshi_630200,Haibeizangzuzizhizhou_632200,Huangnanzangzuzizhizhou_632300,Hainanzangzuzizhizhou_632500,Guoluozangzuzizhizhou_632600,Yushuzangzuzizhizhou_632700,Haiximengguzuzangzuzizhizhou_632800,Yinchuanshi_640100,Shizuishanshi_640200,Wuzhongshi_640300,Guyuanshi_640400,Zhongweishi_640500,Wulumuqishi_650100,Kelamayishi_650200,Tulufanshi_650400,Hamishi_650500,Changjihuizuzizhizhou_652300,Boertalamengguzizhizhou_652700,Bayinguolengmengguzizhizhou_652800,Akesudiqu_652900,Kezileisukeerkezizizhizhou_653000,Kashidiqu_653100,Hetiandiqu_653200,Yilihasakezizhizhou_654000,Tachengdiqu_654200,Aleitaidiqu_654300,Shihezishi_659001,Alaershi_659002,Tumushukeshi_659003,Wujiaqushi_659004,Tiemenguanshi_659006
Beijingshi_110000,,12.3,5.03,5.0,9.77,5.0,2.31,19.53,29.17,28.26,3.77,52.08,4.31,1.15,3.91,1.85,1.35,0.62,1.08,0.54,1.88,0.83,2.31,0.57,1.99,2.75,0.76,7.22,3.86,0.34,1.23,0.82,4.71,1.47,4.89,0.69,2.5,4.39,2.03,0.84,2.18,1.21,2.39,1.62,4.46,1.24,1.15,0.89,3.44,3.04,1.13,13.68,1.01,0.74,0.29,1.55,0.38,1.73,1.85,2.29,2.5,2.54,1.55,1.78,1.53,2.57,1.29,0.63,2.93,1.26,1.07,0.22,1.11,0.75,0.16,0.7,0.34,0.26,0.44,0.35,0.19,0.46,0.23,0.24,0.26,0.37,0.5,0.34,0.31,0.16,0.12,0.16,0.17,0.29,0.14,0.34,0.13,0.91,0.76,0.36,0.24,0.11,0.43,0.12,0.78,0.65,0.17,0.98,0.27,0.34,0.54,0.39,0.19,1.08,0.36,0.54,0.33,0.33,0.06,0.31,0.21,0.3,0.81,0.63,0.19,0.61,0.22,0.22,0.26,0.31,0.26,0.41,0.3,2.29,1.24,0.64,0.78,1.55,1.15,1.08,0.78,1.08,0.7,0.49,0.63,1.46,1.4,0.83,1.62,1.27,0.48,1.22,0.61,1.43,0.82,0.82,0.69,1.84,0.58,0.54,0.66,1.07,0.82,2.1,1.37,1.68,0.19,0.89,0.16,0.61,0.59,0.58,0.14,0.35,0.4,0.27,0.32,0.44,0.53,0.23,0.31,0.21,0.13,0.53,0.51,0.27,0.1,0.37,0.36,0.4,0.42,0.46,0.13,0.18,0.12,0.17,0.29,0.23,0.28,0.07,0.1,0.13,0.05,0.05,0.06,0.2,0.05,0.02,0.08,0.05,0.03,0.05,0.11,0.07,0.04,0.03,0.02,,0.08,0.37,0.16,0.22,1.28,0.57,0.17,0.04,0.07,0.04,0.11,0.09,0.14,0.17,0.19,0.61,0.77,,0.2,0.27,0.52,0.31,0.59,0.11,0.04,,0.13,0.01,0.19,0.03,0.11,0.38,0.15,,0.8,0.83,0.06,0.09,0.13,0.14,0.32,0.31,0.13,0.08,0.14,0.11,0.05,0.12,0.11,0.34,0.06,0.42,0.1,0.04,0.01,0.08,0.36,0.17,0.3,0.15,0.12,0.22,0.08,0.25,0.11,0.23,0.06,0.06,0.17,0.16,0.2,0.05,0.17,0.03,0.04,0.05,0.24,0.28,,0.04,0.16,0.42,,0.04,0.03,0.1,,0.31,0.52,,0.56,0.1,0.63,0.25,0.72,0.33,0.45,0.21,0.73,0.4,0.48,0.62,1.15,0.59,0.19,0.43,0.22,1.0,0.3,1.09,0.56,0.23,0.33,0.1,0.11,,0.04,,0.23,0.26,0.5,0.16,0.12,0.08,0.16,0.48,0.03,0.08,0.11,0.12,0.04,0.12,0.03,0.1,0.5,0.02,0.04,0.01,0.67,0.07,,,0.09,0.14
Tianjinshi_120000,5.92,,2.51,37.05,7.71,7.85,1.77,5.54,4.31,6.93,19.03,14.05,3.66,0.22,1.11,0.84,0.29,0.16,0.54,0.28,0.34,0.47,0.44,0.43,1.28,1.25,0.1,2.49,0.87,0.54,1.01,0.55,2.29,0.31,0.62,0.33,1.62,2.2,0.9,0.35,1.21,1.21,1.35,1.89,1.91,0.21,1.3,0.65,1.28,1.86,0.4,2.4,0.96,0.18,1.62,0.22,0.38,1.15,1.23,1.25,1.14,0.2,0.06,0.19,0.37,0.54,0.5,0.47,1.09,0.32,0.7,,0.47,0.26,0.27,0.46,0.21,0.24,0.25,0.49,0.26,0.59,0.3,0.12,0.17,0.45,0.13,0.14,0.11,0.1,0.07,,0.1,0.07,0.21,0.1,0.08,0.2,0.12,0.17,0.07,0.07,0.1,0.06,0.26,0.29,0.1,0.58,0.12,0.07,0.21,0.07,0.05,0.16,0.21,0.19,0.12,0.28,0.04,0.18,,0.1,0.27,0.12,,0.16,,0.12,,0.19,,,,1.19,1.45,1.46,0.35,3.06,1.87,1.61,0.48,0.59,2.23,0.29,0.92,3.84,1.74,5.55,0.73,0.26,0.15,0.29,0.16,0.89,0.9,0.31,0.4,1.51,0.13,0.18,0.23,0.29,0.26,0.17,0.23,0.25,0.11,0.09,0.07,,,0.1,0.05,0.07,0.15,0.09,0.1,0.07,0.31,,,0.06,,,0.16,,,,,,0.08,,0.05,,,,0.05,,0.09,,0.03,0.03,0.02,0.02,,,,,,,,,,0.02,0.03,,0.02,0.03,0.01,,,,,0.34,0.04,0.09,,0.03,,,0.02,,,0.1,0.18,,0.06,,0.27,,0.06,,,,0.03,,,,0.05,,,,0.13,0.09,0.02,,,0.03,0.07,0.03,0.03,0.02,,,0.02,,0.06,0.13,0.02,0.07,,,,0.03,0.04,0.02,,,0.05,,,,0.03,0.05,,0.01,0.13,,,0.02,0.04,0.04,,,0.06,0.02,,,,,0.04,,,,,,0.14,,0.32,0.03,0.2,,0.21,0.36,0.33,0.07,0.27,0.04,0.04,0.17,0.16,0.13,0.3,0.25,0.08,0.42,0.12,0.21,0.08,0.03,0.04,0.02,0.03,,,,,,0.09,0.29,0.02,,0.06,0.06,,0.05,0.08,0.02,0.02,0.02,,,,0.02,0.01,,0.05,0.01,,,0.01,
Shijiazhuangshi_130100,4.47,3.81,,2.99,5.99,12.67,35.1,28.14,7.01,4.95,5.63,1.69,25.78,0.84,1.16,9.13,0.44,0.25,0.34,0.89,0.45,6.76,0.43,0.96,1.08,0.55,0.07,0.74,0.61,0.45,,0.2,0.96,0.35,0.44,0.21,0.52,0.59,0.73,0.19,,0.3,0.48,0.2,0.14,0.38,0.36,0.13,0.38,0.59,0.2,1.0,0.3,0.18,,0.22,0.07,,,0.51,0.11,0.2,0.06,0.07,0.1,0.4,0.08,,,0.09,0.15,,0.28,0.19,0.17,0.44,0.12,0.16,0.29,0.65,0.26,0.33,0.14,0.13,0.14,0.3,0.17,0.11,0.27,0.05,0.09,0.06,0.2,0.09,0.08,0.16,0.05,0.2,0.11,0.13,0.09,0.05,0.07,0.12,0.09,,0.12,0.19,0.22,0.1,0.16,,0.04,0.22,0.15,,0.1,0.26,0.04,0.09,,0.08,0.28,0.07,0.13,,,0.09,0.13,,0.12,,,1.12,0.52,1.42,0.23,2.4,0.87,1.25,0.4,0.69,0.7,0.5,0.76,1.89,2.13,3.16,0.46,0.51,0.14,0.26,0.19,0.91,0.58,0.62,0.28,0.59,0.28,0.21,0.2,0.32,0.26,0.34,0.27,0.36,0.38,0.18,,0.33,0.11,0.24,0.02,0.16,0.14,0.18,0.11,0.16,0.21,0.14,0.11,0.08,0.13,,0.18,0.07,0.05,0.12,,0.07,,0.26,,0.13,,,0.05,0.16,0.07,0.06,,0.03,0.1,0.03,,0.08,0.02,,,0.09,,0.03,0.04,,,0.02,0.06,0.11,0.02,0.19,0.14,0.16,,0.46,,,0.04,,0.03,0.04,,,0.04,0.05,0.25,,0.05,0.27,0.05,0.03,0.13,0.04,,,0.08,,,0.07,,0.09,0.05,,0.21,0.15,0.02,,,0.03,,0.05,,0.04,0.04,0.04,0.03,0.07,0.05,0.04,0.01,0.04,0.02,,0.04,0.05,0.05,0.02,,0.02,,0.05,0.07,,0.06,0.14,0.03,,0.05,0.06,,0.01,,,,,0.11,0.05,0.05,,,0.23,,,0.07,0.03,,,0.22,0.28,0.04,0.07,0.25,0.29,0.16,3.78,0.31,,0.36,0.14,0.09,0.22,0.21,0.35,0.25,0.2,0.17,0.2,0.1,,0.2,,0.08,,,,0.04,,,0.72,0.11,0.05,0.06,0.08,0.08,0.05,0.01,0.02,0.11,,,0.08,0.02,,0.02,,,0.04,0.05,0.02,,,0.01,
Tangshanshi_130200,0.48,11.29,1.26,,10.76,0.48,0.18,0.73,0.78,3.41,1.68,0.76,0.57,0.05,0.44,0.08,0.06,0.03,0.02,0.11,0.07,0.14,0.1,0.16,0.12,,,0.61,0.38,0.05,,0.06,0.24,0.03,0.13,0.28,0.53,0.7,0.48,0.09,0.12,0.68,0.43,0.74,0.42,0.29,0.88,0.19,1.48,1.91,0.04,0.13,0.25,0.56,,,0.31,0.46,0.3,,0.13,,,0.03,0.05,,0.16,,0.22,0.09,0.05,,,0.08,,0.05,0.07,,,,,0.09,,0.05,0.2,,,,,,,,,,1.13,,,,,,,,,,,,,,,,,,,,,0.19,,0.19,0.04,,,,,,,,,,,,,,,0.08,0.11,0.18,,1.0,0.92,0.24,0.08,0.11,7.31,0.1,0.19,0.19,0.08,1.81,,,,,,0.13,0.05,,0.12,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,0.04,,,,,,,0.09,,,,0.1,0.04,,0.03,,,,,,,,,,,,,,,,,,0.04,0.02,,,0.04,,0.04,,,,,,0.02,0.18,,,,,,,,,,,,,,0.01,
Qinhuangdaoshi_130300,1.35,2.2,1.06,9.3,,0.25,0.15,0.76,0.57,4.96,0.7,0.37,0.43,0.03,0.34,0.31,0.03,0.05,0.05,0.02,0.05,0.1,0.1,0.03,0.17,0.1,,0.64,0.76,0.12,0.46,0.08,0.28,0.14,,0.36,0.6,0.86,0.62,0.16,0.48,0.3,1.49,0.6,1.2,0.34,1.06,0.23,1.52,15.51,0.13,0.06,0.15,0.74,,0.22,0.15,0.11,0.3,0.32,0.45,0.06,0.12,0.11,0.24,0.2,0.08,0.07,0.34,0.37,0.3,0.66,0.15,,,,,0.1,,,0.14,0.07,,,0.08,,,,,,,,,,0.19,,,,,,,,,,,,,0.06,,,,,,0.09,,,,,,,,0.05,,,,,,,,,,,,0.12,0.08,,0.1,0.25,0.17,0.17,0.05,0.09,2.78,0.1,0.11,0.1,0.07,0.38,0.07,,,,,0.05,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,0.04,,,,,,,0.04,0.03,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,0.05,,,,0.1,,0.08,,0.05,0.08,,,,,,,,0.03,0.01,0.07,,,,,,,,0.01,,,,,,,,,,,,,0.02,,,0.02,0.01,,,,
Handanshi_130400,2.22,7.65,7.64,1.29,1.31,,28.94,2.51,0.94,1.09,1.38,0.91,2.5,0.22,0.32,0.29,3.88,2.45,0.14,0.79,0.6,0.33,0.89,0.47,0.24,0.18,0.07,0.21,0.23,0.14,0.06,0.06,0.38,,0.22,0.14,0.33,0.26,0.39,0.06,,0.37,0.36,0.4,0.07,,0.3,0.06,0.36,0.5,0.06,0.6,0.2,,0.59,0.44,0.07,,,0.09,0.04,0.13,0.06,,0.02,,,0.07,0.11,0.04,0.08,,0.16,0.15,0.14,0.76,,0.18,0.14,0.65,0.15,0.21,0.22,0.16,0.12,0.17,0.11,0.1,,,0.28,0.04,,,,,0.04,0.19,0.28,0.05,0.1,0.07,0.06,0.18,0.1,0.14,0.18,0.2,0.4,0.17,0.24,0.37,0.1,0.11,0.07,,0.2,,0.03,0.09,,,0.25,,0.17,,,0.09,,0.1,,,,0.9,1.24,0.73,0.24,0.56,0.81,1.1,0.84,1.29,0.49,2.32,0.98,0.71,11.53,1.45,1.82,0.57,0.26,0.54,0.24,13.81,1.8,1.01,0.85,7.47,0.45,0.26,0.32,0.32,0.27,0.25,0.22,0.21,0.27,0.11,0.08,0.16,0.15,0.23,0.04,0.11,0.09,,0.12,0.13,0.2,,0.02,,,,0.14,0.07,,0.1,,0.07,0.15,,,,,,,0.07,,0.08,,,,,,,,,,,,,0.03,,,,,,0.03,0.12,0.05,,,,0.34,,0.09,0.04,,,,0.04,0.09,0.04,,,0.03,,0.05,0.03,0.01,0.02,0.04,0.03,0.03,0.01,,,,0.06,,,,0.06,,0.01,,0.01,0.03,0.05,,,0.03,0.03,,,,,0.09,,0.06,0.01,0.02,,,0.02,,,,,0.07,,,0.03,0.03,,0.03,0.04,,0.01,0.02,0.05,0.04,,0.04,,,,,0.03,0.04,,,,,,0.11,0.28,,0.05,0.19,0.34,0.24,1.08,0.25,0.13,,0.02,0.09,,0.16,0.35,,0.25,0.12,0.07,0.07,0.07,,,0.1,,,,,,,0.09,0.06,0.02,0.05,0.03,0.03,,,,,,0.07,,,,0.02,,0.03,,,,,,,
Xingtaishi_130500,1.13,1.51,21.14,0.72,0.6,23.5,,2.0,0.52,0.34,1.18,0.35,8.86,0.16,0.26,0.41,0.4,0.12,0.01,0.72,0.19,0.92,0.12,0.2,0.12,0.14,0.02,0.14,0.26,0.07,,,0.22,,0.26,0.09,0.24,0.26,0.05,0.06,0.12,,0.16,0.06,0.14,,0.06,0.09,0.04,,0.04,,0.1,,,,0.07,,0.3,0.07,,,,,,,,0.07,0.05,,,0.22,,,0.14,0.23,,0.08,0.21,0.04,0.15,0.21,0.14,0.08,0.1,0.37,,,,0.08,0.09,,0.1,0.07,,,,0.07,,0.09,,0.07,0.05,0.06,0.09,,0.1,0.15,0.08,0.08,0.15,,,,,0.16,,,0.03,,,0.09,0.13,0.22,,,,0.09,,0.1,,,,0.54,0.52,0.73,0.25,0.64,0.67,0.92,0.38,0.6,0.1,0.2,0.48,1.22,12.77,0.57,0.47,0.21,0.04,0.18,0.12,0.61,0.52,0.43,0.44,0.34,0.13,0.06,0.15,0.2,0.1,0.09,0.16,0.16,0.23,0.05,,0.18,0.05,0.09,0.01,,0.07,0.05,,,0.08,0.06,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,0.04,0.05,,0.01,,,,0.03,0.03,,,,,0.02,,0.06,,,,,,,0.04,,,,,,,,,0.05,,,,,0.07,,0.02,,,,,0.02,,,,,0.04,0.02,,,,,,,,,,,,,,,0.04,0.04,0.02,,,,0.02,,,,,,,,,,0.02,0.04,,,0.03,,,0.05,0.14,,0.03,0.12,0.09,0.13,1.18,0.13,,,0.04,0.19,0.04,,,,0.04,0.05,,,,,,0.03,,,,,,,0.11,0.03,,0.07,,0.08,,0.01,0.02,,0.03,0.04,0.04,,,,,,0.01,0.02,,,,0.03,
Baodingshi_130600,14.88,6.02,21.59,4.15,3.33,3.09,2.89,,7.03,3.24,16.54,6.77,15.44,0.33,3.08,0.82,0.23,0.23,1.04,0.31,0.4,4.69,0.34,0.19,1.5,0.89,0.08,1.6,0.46,1.03,0.33,0.55,1.85,0.14,1.36,0.69,0.48,1.23,0.76,0.25,0.6,1.21,0.48,0.4,0.63,0.21,0.42,0.26,0.82,0.9,0.31,0.66,0.2,0.18,0.44,0.22,0.38,0.34,0.3,0.74,0.38,0.13,0.12,0.15,0.2,0.54,0.4,0.15,0.4,0.37,0.32,,0.15,0.11,0.11,0.3,0.12,0.08,0.22,0.09,0.25,0.23,0.07,0.1,0.2,0.14,,,0.14,0.1,,,0.19,0.14,,0.13,,0.13,,0.09,0.02,0.03,0.13,0.18,0.09,0.07,0.12,0.25,0.13,0.1,0.29,0.07,,0.13,,,,,0.03,,,0.07,0.13,0.17,,0.18,,0.41,,,,,0.24,0.66,0.65,0.28,0.14,2.34,0.59,1.17,0.28,0.42,0.43,0.24,0.35,1.09,0.72,3.16,0.45,0.33,0.31,0.32,0.21,0.69,0.47,0.46,0.44,0.57,0.28,0.13,0.22,0.34,0.24,0.28,0.32,0.28,0.46,0.1,0.16,0.19,0.13,0.15,,0.21,0.23,0.1,0.09,0.12,0.23,0.09,,,0.08,,0.09,0.07,,,,0.05,,0.13,,0.11,,0.17,0.04,0.07,0.04,0.08,,0.01,,,,,,0.01,,0.03,0.03,,0.03,,,,,0.03,,,0.14,0.15,,,,,,0.03,,,,0.01,,,0.14,,0.04,,0.03,0.04,0.03,0.06,0.02,,0.06,,,,,,,,0.18,0.1,0.04,0.03,0.02,0.01,0.05,0.08,0.05,0.03,0.04,0.04,0.03,0.04,0.06,0.04,0.01,0.22,0.01,0.03,0.02,0.06,,,,,,0.05,,,,0.05,0.02,,0.01,,,0.01,,,,,,0.04,,,,,,0.04,,,,,0.1,,0.14,0.04,0.2,0.11,0.32,0.77,0.25,0.03,0.21,0.06,,0.04,0.35,0.08,,0.18,0.18,0.11,0.07,0.07,,0.03,0.04,,0.03,,0.02,,0.07,0.06,0.1,0.03,0.04,,0.02,0.06,0.03,0.17,0.11,0.01,,0.12,0.06,,0.02,,0.04,,0.13,,,,,
Zhangjiakoushi_130700,6.42,1.26,1.63,1.37,2.59,0.33,0.32,2.24,,4.64,0.26,1.51,0.61,0.05,6.72,0.13,,0.03,1.36,0.08,0.11,0.1,0.06,0.04,1.36,1.48,0.05,0.6,0.17,3.38,0.15,0.86,13.17,0.17,9.07,0.16,0.09,0.29,,,0.12,0.07,0.14,0.06,0.14,,0.06,,0.32,0.19,,1.13,0.05,,,,,,,,,,,0.03,0.04,,0.02,0.15,0.22,,,,,,,,,,,,,0.05,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,0.16,0.1,0.34,0.07,0.2,,0.06,,,0.07,0.08,0.09,0.25,0.05,,,,,0.11,,0.15,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,0.17,,,,,,,,,,,,,,,,,0.01,,,,0.01,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31,,,0.14,,,,,0.15,,,,,0.14,,,0.13,,0.11,,,,,,,,,,,,,,,,0.03,0.01,,0.02,,,,0.07,,,,,,,0.02,0.02,,,,,,,
Chengdeshi_130800,5.05,1.81,1.24,2.93,6.16,0.26,0.09,0.78,4.17,,0.43,0.33,0.22,,0.13,0.04,,0.03,0.06,0.05,0.04,0.07,,0.08,0.34,0.1,0.04,11.05,0.55,0.15,,0.1,1.41,0.1,6.61,,0.09,0.24,0.14,0.06,,0.22,0.38,0.06,0.14,0.08,0.09,0.13,8.45,0.45,0.09,,0.05,,,,0.07,,,,0.04,0.13,0.06,,,,,0.23,,0.04,0.05,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,0.12,0.04,0.16,0.09,0.14,,0.04,0.05,,0.11,0.08,,0.15,,,,,,0.08,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,0.03,,,,,,,,0.07,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,
