GbCity_EN,Beijingshi_110000,Tianjinshi_120000,Shijiazhuangshi_130100,Tangshanshi_130200,Qinhuangdaoshi_130300,Handanshi_130400,Xingtaishi_130500,Baodingshi_130600,Zhangjiakoushi_130700,Chengdeshi_130800,Cangzhoushi_130900,Langfangshi_131000,Hengshuishi_131100,Taiyuanshi_140100,Datongshi_140200,Yangquanshi_140300,Zhangzhishi_140400,Jinchengshi_140500,Shuozhoushi_140600,Jinzhongshi_140700,Yunchengshi_140800,Xinzhoushi_140900,Linfenshi_141000,Lvliangshi_141100,Huhehaoteshi_150100,Baotoushi_150200,Wuhaishi_150300,Chifengshi_150400,Tongliaoshi_150500,Eerduosishi_150600,Hulunbeiershi_150700,Bayannaoershi_150800,Wulanchabushi_150900,Xinganmeng_152200,Xilinguoleimeng_152500,Alashanmeng_152900,Shenyangshi_210100,Dalianshi_210200,Anshanshi_210300,Fushunshi_210400,Benxishi_210500,Dandongshi_210600,Jinzhoushi_210700,Yingkoushi_210800,Fuxinshi_210900,Liaoyangshi_211000,Panjinshi_211100,Tielingshi_211200,Zhaoyangshi_211300,Huludaoshi_211400,Changchunshi_220100,Jilinshi_220200,Sipingshi_220300,Liaoyuanshi_220400,Tonghuashi_220500,Baishanshi_220600,Songyuanshi_220700,Baichengshi_220800,Yanbianchaoxianzuzizhizhou_222400,Haerbinshi_230100,Qiqihaershi_230200,Jixishi_230300,Hegangshi_230400,Shuangyashanshi_230500,Daqingshi_230600,Yichunshi_230700,Jiamusishi_230800,Qitaiheshi_230900,Mudanjiangshi_231000,Heiheshi_231100,Suihuashi_231200,Daxinganlingdiqu_232700,Shanghaishi_310000,Nanjingshi_320100,Wuxishi_320200,Xuzhoushi_320300,Changzhoushi_320400,Suzhoushi_320500,Nantongshi_320600,Lianyungangshi_320700,Huaianshi_320800,Yanchengshi_320900,Yangzhoushi_321000,Zhenjiangshi_321100,Taizhoushi_321200,Suqianshi_321300,Hangzhoushi_330100,Ningboshi_330200,Wenzhoushi_330300,Jiaxingshi_330400,Huzhoushi_330500,Shaoxingshi_330600,Jinhuashi_330700,Quzhoushi_330800,Zhoushanshi_330900,Taizhoushi_331000,Lishuishi_331100,Hefeishi_340100,Wuhushi_340200,Bengbushi_340300,Huainanshi_340400,Maanshanshi_340500,Huaibeishi_340600,Tonglingshi_340700,Anqingshi_340800,Huangshanshi_341000,Chuzhoushi_341100,Fuyangshi_341200,Suzhoushi_341300,Luanshi_341500,Bozhoushi_341600,Chizhoushi_341700,Xuanchengshi_341800,Fuzhoushi_350100,Xiamenshi_350200,Putianshi_350300,Sanmingshi_350400,Quanzhoushi_350500,Zhangzhoushi_350600,Nanpingshi_350700,Longyanshi_350800,Ningdeshi_350900,Nanchangshi_360100,Jingdezhenshi_360200,Pingxiangshi_360300,Jiujiangshi_360400,Xinyushi_360500,Yingtanshi_360600,Ganzhoushi_360700,Jianshi_360800,Yichunshi_360900,Fuzhoushi_361000,Shangraoshi_361100,Jinanshi_370100,Qingdaoshi_370200,Ziboshi_370300,Zaozhuangshi_370400,Dongyingshi_370500,Yantaishi_370600,Weifangshi_370700,Jiningshi_370800,Taianshi_370900,Weihaishi_371000,Rizhaoshi_371100,Linyishi_371300,Dezhoushi_371400,Liaochengshi_371500,Binzhoushi_371600,Hezeshi_371700,Zhengzhoushi_410100,Kaifengshi_410200,Luoyangshi_410300,Pingdingshanshi_410400,Anyangshi_410500,Hebishi_410600,Xinxiangshi_410700,Jiaozuoshi_410800,Puyangshi_410900,Xuchangshi_411000,Taheshi_411100,Sanmenxiashi_411200,Nanyangshi_411300,Shangqiushi_411400,Xinyangshi_411500,Zhoukoushi_411600,Zhumadianshi_411700,Jiyuanshi_419001,Wuhanshi_420100,Huangshishi_420200,Shiyanshi_420300,Yichangshi_420500,Xiangyangshi_420600,Ezhoushi_420700,Jingmenshi_420800,Xiaoganshi_420900,Jingzhoushi_421000,Huanggangshi_421100,Xianningshi_421200,Suizhoushi_421300,Enshitujiazumiaozuzizhizhou_422800,Xiantaoshi_429004,Qianjiangshi_429005,Tianmenshi_429006,Shennongjialinqu_429021,Changshashi_430100,Zhuzhoushi_430200,Xiangtanshi_430300,Hengyangshi_430400,Shaoyangshi_430500,Yueyangshi_430600,Changdeshi_430700,Zhangjiajieshi_430800,Yiyangshi_430900,Chenzhoushi_431000,Yongzhoushi_431100,Huaihuashi_431200,Loudishi_431300,Xiangxitujiazumiaozuzizhizhou_433100,Guangzhoushi_440100,Shaoguanshi_440200,Shenzhenshi_440300,Zhuhaishi_440400,Shantoushi_440500,Foshanshi_440600,Jiangmenshi_440700,Zhanjiangshi_440800,Maomingshi_440900,Zhaoqingshi_441200,Huizhoushi_441300,Meizhoushi_441400,Shanweishi_441500,Heyuanshi_441600,Yangjiangshi_441700,Qingyuanshi_441800,Dongguanshi_441900,Zhongshanshi_442000,Chaozhoushi_445100,Jieyangshi_445200,Yunfushi_445300,Nanningshi_450100,Liuzhoushi_450200,Guilinshi_450300,Wuzhoushi_450400,Beihaishi_450500,Fangchenggangshi_450600,Qinzhoushi_450700,Guigangshi_450800,Yulinshi_450900,Baiseshi_451000,Hezhoushi_451100,Hechishi_451200,Laibinshi_451300,Chongzuoshi_451400,Haikoushi_460100,Sanyashi_460200,Sanshashi_460300,Danzhoushi_460400,Wuzhishanshi_469001,Qionghaishi_469002,Wenchangshi_469005,Wanningshi_469006,Dongfangshi_469007,Dinganxian_469021,Tunchangxian_469022,Chengmaixian_469023,Lingaoxian_469024,Baishalizuzizhixian_469025,Changjianglizuzizhixian_469026,Ledonglizuzizhixian_469027,Lingshuilizuzizhixian_469028,Baotinglizumiaozuzizhixian_469029,Qiongzhonglizumiaozuzizhixian_469030,Chongqingshi_500000,Chengdushi_510100,Zigongshi_510300,Panzhihuashi_510400,Luzhoushi_510500,Deyangshi_510600,Mianyangshi_510700,Guangyuanshi_510800,Suiningshi_510900,Neijiangshi_511000,Leshanshi_511100,Nanchongshi_511300,Meishanshi_511400,Yibinshi_511500,Guanganshi_511600,Dazhoushi_511700,Yaanshi_511800,Bazhongshi_511900,Ziyangshi_512000,Abazangzuqiangzuzizhizhou_513200,Ganzizangzuzizhizhou_513300,Liangshanyizuzizhizhou_513400,Guiyangshi_520100,Liupanshuishi_520200,Zunyishi_520300,Anshunshi_520400,Bijieshi_520500,Tongrenshi_520600,Qianxinanbuyizumiaozuzizhizhou_522300,Qiandongnanmiaozudongzuzizhizhou_522600,Qiannanbuyizumiaozuzizhizhou_522700,Kunmingshi_530100,Qujingshi_530300,Yuxishi_530400,Baoshanshi_530500,Zhaotongshi_530600,Lijiangshi_530700,Puershi_530800,Lincangshi_530900,Chuxiongyizuzizhizhou_532300,Honghehanizuyizuzizhizhou_532500,Wenshanzhuangzumiaozuzizhizhou_532600,Xishuangbannadaizuzizhizhou_532800,Dalibaizuzizhizhou_532900,Dehongdaizujingpozuzizhizhou_533100,Nujianglisuzuzizhizhou_533300,Diqingzangzuzizhizhou_533400,Lasashi_540100,Rikazeshi_540200,Changdoushi_540300,Linzhishi_540400,Shannanshi_540500,Naqushi_540600,Alidiqu_542500,Xianshi_610100,Tongchuanshi_610200,Baojishi_610300,Xianyangshi_610400,Weinanshi_610500,Yananshi_610600,Hanzhongshi_610700,Yulinshi_610800,Ankangshi_610900,Shangluoshi_611000,Lanzhoushi_620100,Jiayuguanshi_620200,Jinchangshi_620300,Baiyinshi_620400,Tianshuishi_620500,Wuweishi_620600,Zhangyeshi_620700,Pingliangshi_620800,Jiuquanshi_620900,Qingyangshi_621000,Dingxishi_621100,Longnanshi_621200,Linxiahuizuzizhizhou_622900,Gannanzangzuzizhizhou_623000,Xiningshi_630100,Haidongshi_630200,Haibeizangzuzizhizhou_632200,Huangnanzangzuzizhizhou_632300,Hainanzangzuzizhizhou_632500,Guoluozangzuzizhizhou_632600,Yushuzangzuzizhizhou_632700,Haiximengguzuzangzuzizhizhou_632800,Yinchuanshi_640100,Shizuishanshi_640200,Wuzhongshi_640300,Guyuanshi_640400,Zhongweishi_640500,Wulumuqishi_650100,Kelamayishi_650200,Tulufanshi_650400,Hamishi_650500,Changjihuizuzizhizhou_652300,Boertalamengguzizhizhou_652700,Bayinguolengmengguzizhizhou_652800,Akesudiqu_652900,Kezileisukeerkezizizhizhou_653000,Kashidiqu_653100,Hetiandiqu_653200,Yilihasakezizhizhou_654000,Tachengdiqu_654200,Aleitaidiqu_654300,Shihezishi_659001,Alaershi_659002,Tumushukeshi_659003,Wujiaqushi_659004,Tiemenguanshi_659006
Beijingshi_110000,,19.13,8.03,13.06,11.94,9.38,6.38,30.78,38.79,35.19,8.84,54.45,8.86,3.24,8.36,3.7,2.76,2.08,3.12,1.46,3.64,2.73,4.24,1.92,6.71,5.3,1.67,9.71,4.39,2.23,4.78,3.79,5.79,2.6,6.56,1.67,3.68,5.87,2.26,1.76,1.99,3.23,3.63,2.64,3.7,1.18,3.04,1.39,4.59,6.94,3.11,3.08,1.25,1.46,2.26,1.92,1.46,1.66,3.55,5.08,2.69,2.06,2.52,1.62,3.06,2.12,2.11,2.01,3.9,1.79,1.52,2.56,3.08,2.31,0.94,1.37,0.76,0.98,0.93,1.31,0.85,1.01,1.08,0.82,0.81,0.68,1.6,0.99,1.11,0.47,0.39,0.55,0.69,0.63,0.87,0.69,0.82,1.62,1.34,0.86,0.66,0.61,0.85,0.58,1.43,1.27,0.45,1.47,0.79,0.72,0.85,0.59,0.41,1.39,1.77,0.76,0.68,0.66,0.33,0.84,0.48,0.55,1.53,1.32,0.68,1.02,0.28,0.57,0.71,0.78,0.41,0.89,0.44,3.57,1.93,1.76,1.59,2.71,3.7,2.3,2.01,2.76,3.97,1.59,1.59,3.97,4.07,1.89,3.55,2.06,1.13,2.35,1.16,3.35,2.06,1.67,1.35,3.83,1.12,1.13,1.55,1.78,1.51,3.26,2.44,2.71,1.21,2.09,0.49,1.29,1.4,1.55,0.16,0.84,1.52,0.86,0.64,0.82,1.15,0.85,0.38,0.47,0.56,0.83,1.39,0.85,0.44,0.72,0.39,0.6,0.8,0.55,0.21,0.35,0.34,0.52,0.43,0.49,0.92,0.32,1.48,0.67,0.31,0.31,0.31,0.47,0.13,0.3,0.29,0.25,0.31,0.18,0.17,0.22,0.27,0.18,0.32,0.5,0.12,0.7,0.38,1.11,0.26,0.59,0.49,0.05,0.1,0.11,0.25,0.37,0.07,0.14,0.1,0.96,3.15,,0.41,0.09,1.48,0.83,0.85,0.51,0.36,0.05,0.47,0.35,,0.1,0.31,0.93,0.41,0.07,2.53,1.85,0.47,0.25,0.46,0.33,1.11,1.03,0.33,0.19,0.31,0.56,0.2,0.48,0.29,0.64,0.14,0.66,0.17,0.26,0.26,0.66,0.94,0.23,0.51,0.43,0.17,0.26,0.28,0.42,0.26,0.87,0.16,0.28,0.51,0.19,1.0,0.19,0.12,0.09,0.22,0.1,1.45,0.72,0.27,0.18,0.35,1.1,0.28,0.09,0.55,0.17,0.16,0.27,2.36,0.48,0.98,0.52,0.74,0.76,0.98,1.07,1.0,0.27,1.68,0.77,0.34,0.58,1.26,0.49,0.75,0.59,1.0,1.69,0.5,1.69,0.38,0.33,1.14,0.3,0.04,0.26,0.11,0.43,0.62,0.44,1.81,0.41,0.35,0.17,0.57,1.57,1.3,0.3,0.38,0.36,0.09,1.05,0.53,,0.76,0.95,0.57,0.07,0.17,0.26,0.4,,0.18,0.1
Tianjinshi_120000,7.37,,3.18,28.12,8.23,5.58,2.82,4.92,3.25,5.99,18.6,14.69,4.25,0.63,2.32,1.15,0.62,0.54,1.11,0.65,0.77,0.8,0.92,0.85,1.04,0.86,0.21,2.21,1.29,0.4,1.83,0.63,1.01,0.58,0.92,0.13,1.19,1.48,1.08,0.57,0.53,0.87,1.28,1.45,1.23,0.89,1.25,0.53,1.64,2.93,0.95,0.97,0.61,0.94,1.47,0.49,0.63,0.94,0.76,1.3,1.33,0.31,0.5,0.59,0.99,0.86,0.56,0.68,0.88,0.8,0.65,0.54,0.55,0.37,0.25,0.53,0.24,0.28,0.34,0.42,0.2,0.36,0.35,0.21,0.22,0.28,0.39,0.36,0.18,0.18,0.12,0.19,0.19,0.11,0.42,0.21,0.06,0.31,0.36,0.21,0.17,0.12,0.25,0.07,0.35,0.23,0.16,0.77,0.22,0.18,0.31,0.16,0.14,0.28,0.42,0.21,,0.16,0.09,0.13,0.05,0.14,0.29,0.26,,0.2,,0.12,0.11,0.13,,0.07,0.11,1.13,0.88,0.85,0.46,1.36,1.15,0.96,0.95,1.1,1.2,0.53,0.79,5.02,2.01,4.01,1.35,0.32,0.35,0.47,0.29,1.12,1.41,0.53,0.38,1.51,0.18,0.23,0.14,0.49,0.7,0.44,0.5,0.56,0.26,0.32,0.06,0.22,0.39,0.22,0.04,0.19,0.31,0.12,0.28,0.11,0.32,0.1,,,0.11,0.32,0.17,0.16,0.09,0.1,0.06,0.18,,0.15,0.05,,0.04,0.07,0.08,0.22,0.18,0.05,0.18,0.15,0.04,0.07,,0.13,,0.03,0.04,0.09,,0.04,0.06,0.04,,0.04,0.03,0.06,,0.07,0.08,0.35,0.03,0.05,,0.02,,0.02,,0.02,,,,0.16,1.16,,0.12,0.29,0.22,0.24,0.07,0.12,0.07,0.15,0.04,0.06,0.07,,0.1,0.24,,,0.47,0.26,0.07,0.03,0.07,0.07,0.14,0.08,0.03,0.04,0.11,0.09,0.03,0.2,0.08,0.06,0.06,0.1,0.03,0.06,0.05,,0.1,,0.06,0.03,0.04,0.06,0.07,,0.04,0.16,0.06,0.03,0.03,0.03,0.16,,,,,0.04,0.25,0.07,0.06,,0.06,0.27,0.08,0.14,0.04,0.08,,,0.3,0.06,0.17,0.11,0.15,0.11,0.12,0.3,0.22,0.06,0.36,0.14,0.07,0.15,0.36,0.25,0.3,0.38,0.22,1.38,0.17,0.31,0.09,0.24,0.15,0.07,,0.67,0.03,,,0.23,0.29,0.67,0.1,,0.23,0.48,0.09,0.15,0.08,0.09,0.06,0.17,0.05,,0.34,1.72,0.13,0.04,0.07,0.07,,,0.12,
Shijiazhuangshi_130100,2.25,2.07,,3.87,3.67,11.26,27.58,15.05,5.04,4.56,6.7,1.71,19.91,1.23,1.08,11.15,0.78,0.67,0.69,2.01,0.62,3.88,0.64,1.04,0.53,0.41,0.29,0.82,0.26,0.56,0.3,0.29,0.48,0.3,0.51,0.18,0.29,0.37,0.18,0.12,0.21,0.25,0.39,0.17,0.15,0.23,0.17,0.1,0.34,0.45,0.22,0.24,0.1,0.04,0.18,0.19,0.11,0.16,0.12,0.34,0.08,0.05,0.09,,0.12,0.18,0.03,0.2,0.15,0.04,0.17,0.15,0.23,0.2,0.1,0.33,0.09,0.13,0.19,0.18,0.18,0.18,0.22,0.05,0.12,0.14,0.17,,0.25,0.13,0.08,0.12,0.19,0.06,,0.11,,0.16,0.13,0.07,0.12,,,,0.12,0.14,0.05,0.18,0.09,,0.16,,,0.09,0.18,0.06,,0.07,,0.16,0.04,0.07,0.12,,,0.13,,,0.08,,0.09,,,0.7,0.44,0.51,0.28,0.57,0.57,0.6,0.44,0.4,0.46,0.29,0.4,1.38,1.27,0.7,0.5,0.44,0.18,0.37,0.18,0.83,0.25,0.42,0.43,0.92,0.21,0.28,0.11,0.29,0.2,0.24,0.25,0.31,0.2,0.22,0.05,0.19,0.15,0.19,0.04,0.13,0.13,,0.07,0.1,0.13,,0.05,,0.21,,0.14,0.1,,0.1,,0.07,0.09,0.15,,,0.06,0.08,,0.07,0.11,,0.12,,0.08,0.05,,0.07,0.02,0.04,,,,,,,,0.04,0.06,0.05,,0.08,0.05,0.31,0.03,0.22,0.09,,0.01,,,,,,0.02,0.12,0.33,,0.06,0.09,0.09,,0.05,0.03,,,0.04,0.06,,,,0.21,0.06,,0.35,0.2,,0.05,0.05,0.04,0.18,0.14,0.04,0.03,0.06,,0.03,0.07,0.07,0.09,0.06,0.08,,0.04,,0.02,0.04,,0.06,0.23,,,0.06,,,0.13,0.04,,,0.06,0.12,0.02,0.04,,0.04,,0.16,,,,,0.15,0.16,,,,,0.13,0.25,0.05,0.11,0.12,0.15,0.26,,0.84,0.18,,0.23,0.04,0.15,0.09,0.18,0.07,0.2,0.05,0.1,0.11,0.09,,0.08,,0.1,0.01,0.09,,0.03,,,0.19,0.26,0.2,0.09,0.03,0.11,0.15,,0.19,0.19,0.03,,0.18,0.13,,,,0.09,0.05,,,0.05,0.25,0.03,
Tangshanshi_130200,2.0,11.59,2.69,,28.02,0.95,1.0,1.74,3.4,13.08,2.88,2.01,1.59,0.18,1.81,0.54,0.22,0.08,0.45,0.9,0.13,0.48,0.38,1.04,0.18,0.27,0.06,2.2,0.59,0.17,0.3,0.22,0.27,0.25,0.29,0.09,0.58,0.72,0.91,0.44,0.38,0.5,0.94,0.99,0.39,0.54,0.67,0.33,2.58,2.33,0.3,0.54,0.26,0.49,0.51,0.27,0.18,0.3,0.25,0.39,0.45,0.18,,0.12,0.28,0.3,0.18,0.08,0.27,0.14,0.33,0.15,,0.08,0.06,0.11,0.06,,0.12,0.09,,0.12,0.06,0.07,,0.05,,,,0.08,,,,,0.07,,,,,,,0.06,0.04,0.04,,0.18,,0.11,,,0.07,0.08,,,0.07,0.11,0.07,,0.04,,,0.17,,0.07,,,,,,,,,,0.25,0.34,0.21,0.16,0.51,0.46,0.35,0.25,0.21,0.33,0.24,0.27,0.56,0.25,1.35,0.18,0.1,0.08,0.11,0.1,0.24,0.24,0.22,0.1,0.26,0.05,,,,0.1,,0.12,0.08,,,,0.16,0.09,0.12,0.08,0.1,,,,,0.11,,,,,0.06,,0.06,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,0.04,,,0.06,0.08,0.1,,,,,,,0.03,,,0.2,,,,0.24,,,,,,0.01,0.12,,,,0.12,0.13,,,,,,,,,,,,0.03,,0.02,,,,,0.09,,,,,,,,,,,,,,,,0.05,,,,,,,,,0.08,,,,0.03,,,,0.09,,,,,,0.08,,,0.04,,0.11,0.15,,,,,,,,,,,0.05,,,,,,,,,0.03,,,,,0.19,0.04,,0.05,,,,0.13,,,0.14,0.1,,,,,0.02,,,,,0.06,
Qinhuangdaoshi_130300,0.77,1.22,0.97,11.53,,0.36,0.54,0.53,0.61,3.63,0.57,0.48,0.46,0.06,0.46,0.05,,0.05,0.09,0.07,,0.06,,,0.05,,0.05,0.48,0.2,,0.08,0.05,0.19,0.25,0.08,0.13,0.48,0.64,0.44,0.23,0.21,0.5,1.27,0.6,0.65,0.22,0.54,0.3,1.13,14.43,0.31,0.35,0.37,0.23,0.36,0.14,0.13,0.3,0.27,0.47,0.45,0.29,0.12,0.12,0.23,0.46,0.19,0.16,0.5,0.27,0.28,0.93,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,0.07,0.1,0.07,0.08,0.15,0.14,0.2,,0.11,0.3,,0.08,0.14,0.09,0.19,,,,0.13,,0.07,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,0.03,,,,
Handanshi_130400,1.62,2.5,7.04,0.93,0.71,,17.53,1.6,0.86,0.52,1.26,0.61,1.9,0.45,0.3,0.6,5.75,1.17,0.26,1.5,0.42,0.57,0.92,0.49,0.12,0.08,0.02,0.09,0.05,0.21,,,0.28,0.08,0.15,0.09,0.09,0.21,0.13,0.07,0.11,,0.08,0.1,0.04,0.05,0.09,0.05,0.12,0.15,,0.08,,0.04,0.15,0.04,,0.03,0.18,0.1,0.06,,,,,0.03,0.03,,,,0.03,,,0.08,0.07,0.21,0.06,0.08,0.08,0.15,0.06,0.1,0.22,0.05,0.09,0.13,,,,0.06,0.06,0.05,,,,,,0.08,0.19,0.07,0.05,0.05,0.07,,,,,0.15,0.08,0.39,0.11,0.13,,,0.07,,,,,,,0.06,,,0.06,,0.08,,,,,0.08,,0.39,0.31,0.28,0.25,0.23,0.3,0.4,0.43,0.62,0.35,0.61,0.25,0.55,5.81,0.39,0.91,0.42,0.3,0.32,0.18,8.91,1.35,0.78,0.3,4.98,0.18,0.13,0.15,0.24,0.16,0.21,0.19,0.14,0.26,0.12,0.1,0.18,,,0.04,,0.14,,,,0.13,,0.05,,,,,0.05,,,,,0.09,0.23,,,,,,,,,,,,,0.03,,,,,,,0.04,0.17,,,,,,,,,,,,0.04,0.02,,,0.03,,0.02,,0.04,,0.14,,,0.09,,,,0.06,,,,,,,,0.12,,,0.14,,,,,,,,,,0.06,,,0.04,,,,,0.07,,,,,0.05,,,,,,0.07,,,,,0.03,,,,,,,,0.12,,,,,0.08,0.04,,,,,,0.14,,0.14,0.07,0.12,0.31,0.11,0.24,0.16,,,,0.03,0.07,0.06,,,0.05,,,0.04,0.07,,0.03,0.06,0.01,,0.13,,,0.07,0.06,0.05,0.08,,,0.04,,,,0.13,,,0.07,,,,,,,,0.01,,,0.03,
Xingtaishi_130500,1.01,0.99,14.47,0.57,0.93,17.3,,1.53,0.45,0.5,1.48,0.49,7.01,0.28,0.21,1.17,0.83,0.29,0.3,1.82,0.16,0.49,0.17,0.54,0.09,0.09,,0.1,0.07,0.24,,0.04,0.11,,0.24,,0.08,,0.07,0.03,0.14,,0.06,0.05,0.13,0.05,0.04,,0.14,0.13,,,0.04,,,,0.06,,,,0.05,0.02,,,,,,,0.05,,0.03,,,,,0.12,,,,0.07,,0.05,,0.04,0.05,0.06,,,,0.06,,,,,,,,,,0.08,,,,,,,0.04,0.08,0.09,0.05,0.07,0.08,,,,,,,,,,,,,,,0.06,0.12,,,,,,0.41,0.29,0.29,0.13,0.18,0.15,0.41,0.31,0.44,0.2,0.24,0.22,1.52,7.04,0.36,0.27,0.2,0.1,0.15,0.11,0.86,0.37,0.27,0.18,0.55,0.13,0.13,0.08,0.16,0.08,0.09,0.11,0.12,0.09,,,0.1,,0.11,0.03,,0.06,,,,0.14,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27,,,,,,,,,0.02,,,,,,,,0.1,,0.03,,0.01,0.03,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,,0.04,,0.03,0.04,0.04,,0.04,,,0.13,,,,0.07,,0.11,0.06,0.4,0.15,,,,,,0.07,,,,,0.07,,,,0.03,,0.02,,,0.07,,,0.13,0.06,,0.02,0.05,0.07,,,,,0.05,,,,,,,0.05,,,,,,0.03,
Baodingshi_130600,7.87,3.44,14.97,2.92,2.49,2.28,3.07,,5.99,2.62,11.98,6.79,7.13,0.45,2.85,1.13,0.4,0.55,1.91,0.56,0.41,3.31,0.3,0.38,0.53,0.47,0.1,1.35,0.38,0.44,0.22,0.5,1.02,0.12,0.87,0.09,0.27,0.42,0.36,0.13,0.12,0.18,0.4,0.37,0.21,0.18,0.28,0.19,0.42,0.6,0.2,0.15,0.17,0.25,0.23,0.12,0.12,0.13,0.12,0.26,0.13,0.07,0.06,0.04,0.15,0.09,0.09,0.08,0.38,0.08,0.13,0.15,0.12,0.09,,0.21,0.07,0.07,0.1,0.08,0.15,0.09,0.1,,0.06,0.12,0.09,,,0.08,,0.12,,,0.08,,,0.11,0.1,0.07,0.04,,0.06,0.05,,,0.09,0.21,0.08,0.07,0.23,,0.04,,0.09,,,0.1,0.07,0.05,,,,0.08,,,,0.08,,0.07,,0.11,,0.34,0.29,0.27,0.16,0.35,0.38,0.48,0.32,0.27,0.3,0.13,0.31,0.82,0.65,0.85,0.38,0.25,0.3,0.26,0.18,0.63,0.54,0.3,0.27,0.66,0.26,0.16,0.2,0.39,0.35,0.18,0.34,0.28,0.32,0.11,,0.11,0.21,,,,0.1,0.08,,0.1,0.15,0.1,0.09,,0.04,,0.09,,,,0.05,,0.12,,,,,,,,,0.08,,0.05,0.06,,,0.05,,0.03,,,,,,0.04,,,,,,0.04,0.04,0.19,0.05,0.1,,0.03,,,,0.03,0.02,,,,0.22,,,0.19,0.04,0.18,0.1,,,,,0.03,,,0.02,0.21,,0.14,0.2,0.1,,0.03,,0.03,0.06,0.06,,0.02,,0.12,0.02,,0.08,0.08,0.03,0.1,,,,0.04,,,,,,,,,,0.08,0.03,0.02,0.03,,0.07,,,0.07,0.04,,0.19,,,,0.06,,,,,,,,0.15,,0.12,0.06,0.17,0.08,0.36,0.29,0.16,,0.11,0.04,0.07,0.06,0.07,0.04,,0.05,0.07,0.21,0.12,,,0.03,0.05,,,,0.07,,0.07,0.13,0.14,0.04,0.06,0.07,0.03,0.09,0.04,0.07,0.08,0.04,0.03,0.26,0.05,0.18,0.11,0.15,0.05,,0.1,0.03,0.05,,0.06,0.21
Zhangjiakoushi_130700,3.56,0.94,2.22,1.46,0.74,0.36,0.33,1.98,,3.62,0.63,0.69,0.61,0.13,7.24,0.13,0.1,0.2,1.86,0.05,,0.3,0.08,0.18,1.08,0.81,0.2,0.99,0.13,1.08,0.05,0.58,8.57,0.09,13.94,0.14,,0.12,0.1,,,,,0.06,0.08,,,0.04,0.34,0.13,,,0.03,,,,0.06,0.04,0.07,,0.03,,,,0.05,0.06,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,0.08,,0.15,,0.06,,0.09,,0.04,,0.13,0.14,0.17,,,,,,,,0.08,,0.13,,,0.07,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,0.21,,0.1,,,,0.07,,,,,,,0.04,,,,,,,,,,,,,,,0.05,0.03,0.07,,,,,0.16,,,,,,,,,,,,,,,
Chengdeshi_130800,2.05,0.92,1.15,5.81,2.78,0.18,0.16,0.59,3.04,,0.33,0.69,0.24,,0.2,0.03,,,0.1,0.05,,0.06,,0.12,0.15,0.1,,8.39,0.79,0.1,,0.11,0.74,0.35,4.03,,0.07,,0.22,,0.05,0.11,0.28,0.19,0.26,0.1,0.14,0.08,4.69,0.67,0.07,0.1,0.05,,0.09,0.27,0.06,0.21,,,,0.05,,,0.06,0.09,,,,0.04,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,0.11,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,0.02,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,
