model_name,lags,out,Accuracy,Precision,Recall,F1_Score
GCRN,11,2,0.9160329298401002,0.765504822444316,0.4241416764373727,0.5458447302176637
GCLSTM,11,2,0.9163861040867062,0.7640694593094968,0.4299904331000352,0.5502722087463667
LSTM,11,2,0.924763873021578,0.7615243405965695,0.5397623380640335,0.6303387400594261
GCRN,8,5,0.8971965649589876,0.6568151336519504,0.2898724227062911,0.4022273633702859
GCLSTM,8,5,0.8970928462318524,0.6512144539935514,0.2962191563890491,0.4071938528327782
LSTM,8,5,0.8865032326525721,0.5283633182331947,0.4662125293697446,0.4949563169065374
GCRN,5,11,0.8854091675029465,0.5830229811241189,0.1757515910442771,0.2700455707085355
GCLSTM,5,11,0.8850613219786851,0.5763547690263529,0.1778768711212018,0.2718437559585507
LSTM,5,11,0.8838192822686788,0.5518571430462574,0.2455796118253694,0.3369733476091926
GCRN,6,12,0.8855756445086372,0.5885411767687774,0.1811450817323517,0.2770125704721817
GCLSTM,6,12,0.8851738367894357,0.5803963197465952,0.18481326945983,0.2803343610845891
LSTM,6,12,0.8809968533993603,0.5449411285554149,0.2701380321246149,0.352805384116157
GCRN,13,13,0.8850484644955265,0.5606856284084455,0.1962783451329746,0.2907634545423893
GCLSTM,13,13,0.8850411085456514,0.5607155123260489,0.1959580784219747,0.2904079053622511
LSTM,13,13,0.8459493480772735,0.37932730043956,0.4250546427274714,0.398837435306166
GCRN,9,3,0.9060994655747104,0.7094751193359861,0.3580942981300396,0.4759425113218428
GCLSTM,9,3,0.9063688033694324,0.7108934586699529,0.3601985425520192,0.4781214200893278
LSTM,9,3,0.905321803325218,0.620971653934013,0.527177907350003,0.5700895316449459
GCRN,8,9,0.8895361486525213,0.6063734907347748,0.2206854185016403,0.323591878993905
GCLSTM,8,9,0.8892780395168718,0.6009032877954741,0.2241209678448793,0.3264717090954908
LSTM,8,9,0.8677047009869666,0.4572335772283347,0.3942456822272431,0.4162940476117236
GCRN,9,6,0.8946736325943803,0.6353176574873066,0.2769547010527472,0.3857436876632062
GCLSTM,9,6,0.8943803048520454,0.632741218167179,0.2753126351168963,0.3836727307916091
LSTM,9,6,0.8746617945108376,0.4786634806755565,0.4701153077141745,0.4728160115099195
GCRN,6,4,0.8999145604933855,0.6805276277698523,0.307735778509748,0.4237868170815613
GCLSTM,6,4,0.8997316705425366,0.676418977444835,0.3100094364817947,0.4251572058042789
LSTM,6,4,0.8976254546693584,0.6018893547180747,0.4398953084661266,0.5068380627652891
GCRN,1,2,0.8952731882491107,0.6676083320267794,0.2545190039688704,0.3685353172358158
GCLSTM,1,2,0.8952590274862949,0.6713755072268974,0.2501108741401958,0.3644441269678476
LSTM,1,2,0.8942694699889342,0.622046689201766,0.3044222539229672,0.4087776081712187
GCRN,10,10,0.8878818735169711,0.5916305434974528,0.2164223096282921,0.3169119464686584
GCLSTM,10,10,0.8876754702706421,0.5890113355200993,0.2161483111535264,0.3162388901507779
LSTM,10,10,0.8706950892396575,0.4858609900769609,0.3765055250397405,0.4113328474221395
GCRN,11,14,0.8837109973872298,0.5584873746941722,0.1885715275757148,0.2819392512947535
GCLSTM,11,14,0.883550628206196,0.5565737941478607,0.1879540174592602,0.2809806664404742
LSTM,11,14,0.8647665071858892,0.4564734128121719,0.3279695189097823,0.3706759525736368
GCRN,5,12,0.8842688595435423,0.5737692086728674,0.1700480472089283,0.2623224332802076
GCLSTM,5,12,0.8838354855164667,0.5655047117074786,0.1733600841122159,0.2653409809170614
LSTM,5,12,0.8799570136524639,0.5208420470588384,0.2333976646546355,0.319425926413529
GCRN,10,5,0.8971036973330083,0.6496139393776783,0.2988487346983272,0.4093583523766003
GCLSTM,10,5,0.8970371872713503,0.6469669238369165,0.3017987623826286,0.4115698808274956
LSTM,10,5,0.8888392316941154,0.5509249264019289,0.4596331328014504,0.4962813645976901
GCRN,4,13,0.8822174738841404,0.561405777041181,0.1348388109350033,0.2173997766246592
GCLSTM,4,13,0.8819392926960242,0.5550599489145125,0.1368084150959025,0.2195038102560759
LSTM,4,13,0.8824216921013578,0.5574459665802485,0.167364255243086,0.2560034623951083
GCRN,10,6,0.8948671721861137,0.632350557471741,0.2769470836672109,0.3851683157845428
GCLSTM,10,6,0.8947500487178605,0.6288753726666779,0.2803622144970147,0.3878232417363981
LSTM,10,6,0.8800349335717643,0.5077363578496528,0.4562601292934648,0.4748311820114422
GCRN,13,14,0.8841610417108295,0.5560058141808504,0.1904987918181181,0.2837592957984603
GCLSTM,13,14,0.883929684023142,0.5517599610571428,0.1942371576646482,0.2873217902496249
LSTM,13,14,0.8532512182755589,0.3944645094542662,0.3871389347417125,0.3889075207364646
GCRN,9,9,0.8894589260673034,0.6028297009021714,0.2250625486666921,0.3277535907736688
GCLSTM,9,9,0.8893156573472265,0.6004594208670321,0.2259270605956164,0.328307633082554
LSTM,9,9,0.8679674335431067,0.4616553523653697,0.403208969989405,0.4220641474961394
GCRN,1,4,0.8877363978241606,0.6651820585703094,0.1265756973556845,0.212678947644415
GCLSTM,1,4,0.88773173409988,0.6698824131281572,0.123883779656308,0.2090903865778103
LSTM,1,4,0.8868027626206738,0.5997741808853786,0.1655249788090228,0.259445444431066
GCRN,8,7,0.8925679370499211,0.6278749109556994,0.2508865510889432,0.3585110895646938
GCLSTM,8,7,0.8922971729800736,0.6216858182477341,0.2552613269608589,0.3619174954936799
LSTM,8,7,0.8688965703992082,0.4744999581752196,0.4513031866799211,0.4507223567900804
GCRN,8,3,0.906199647139534,0.7102261494809736,0.3586069441982359,0.4765660576424454
GCLSTM,8,3,0.9062186451242072,0.7068238688827044,0.3630372602660968,0.4796761000595344
LSTM,8,3,0.9100573790483036,0.6723119402294396,0.4897518697208235,0.5642324555849878
GCRN,3,5,0.8882340855076538,0.6126896750300743,0.1793901563906006,0.2775002183069229
GCLSTM,3,5,0.8879978192907583,0.6056035140551869,0.1835368423450616,0.2816731152939572
LSTM,3,5,0.8865054304771153,0.5642140750560004,0.2332910938229699,0.3295922031228437
GCRN,14,2,0.9164384091612504,0.7602465470009555,0.4249989057005705,0.5451817496869712
GCLSTM,14,2,0.9167662230475602,0.7555037782486753,0.4342537607423727,0.5514992071486201
LSTM,14,2,0.925992726709997,0.7693353662829127,0.5333374673534003,0.629322378446953
GCRN,8,4,0.9006004475651345,0.6799065374258517,0.3144535511282081,0.4300026703972196
GCLSTM,8,4,0.9005854716763155,0.6770270255960034,0.3179246569443646,0.4326693110691629
LSTM,8,4,0.8954855824978927,0.5741458424079333,0.4823426824366997,0.5238752292290989
GCRN,6,3,0.905363295369684,0.717635924680288,0.3444178323628758,0.4654219307184913
GCLSTM,6,3,0.9054771579225336,0.7119478631816445,0.3524319987466738,0.4714569390092964
LSTM,6,3,0.9060819640012608,0.6463397079409156,0.4831249599434105,0.551587803883751
GCRN,13,3,0.906767426665291,0.7029720922703502,0.3650528961266111,0.4805338540844763
GCLSTM,13,3,0.9069839059114824,0.7003320571908447,0.3716701882233645,0.4856090241232224
LSTM,13,3,0.9047438586838152,0.6106172934214488,0.5374964521630282,0.571407510350209
GCRN,14,9,0.8895735738329507,0.5891335336980018,0.2381498088678849,0.3391804171451488
GCLSTM,14,9,0.8896223071552475,0.5901589864400906,0.2372052775044759,0.3383844153435418
LSTM,14,9,0.8652909244024098,0.4366697402940788,0.4527571412442135,0.4443995426999131
GCRN,4,14,0.8815070522173587,0.5567058145861409,0.1291007827596073,0.2095686317843877
GCLSTM,4,14,0.8813197914056781,0.5530224616014598,0.1289285968412059,0.2090973877168431
LSTM,4,14,0.8793181874008245,0.5192897308103064,0.1720618759080511,0.2569340918187029
GCRN,8,14,0.8839826020970026,0.5660620618116763,0.1789612397491435,0.2719172914964899
GCLSTM,8,14,0.8838212211230285,0.5636152166641477,0.1790340078995229,0.2717344179368259
