model_name,lags,out,Accuracy,Precision,Recall,F1_Score
GCRN,11,2,0.998134235356952,0.5777777777777777,0.0314814814814814,0.0586063590176212
GCLSTM,11,2,0.9980772654441872,0.0,0.0,0.0
LSTM,11,2,0.998102189781022,0.5322751322751322,0.1092592592592592,0.1809962399787981
GCRN,8,5,0.9980559017269004,0.0,0.0,0.0
GCLSTM,8,5,0.9980559017269004,0.0,0.0,0.0
LSTM,8,5,0.9980559017269004,0.0,0.0,0.0
GCRN,5,11,0.998030520412156,0.0,0.0,0.0
GCLSTM,5,11,0.998030520412156,0.0,0.0,0.0
LSTM,5,11,0.998030520412156,0.0,0.0,0.0
GCRN,6,12,0.9980272596843616,0.0,0.0,0.0
GCLSTM,6,12,0.9980272596843616,0.0,0.0,0.0
LSTM,6,12,0.9980272596843616,0.0,0.0,0.0
GCRN,13,13,0.9980258183752906,0.0,0.0,0.0
GCLSTM,13,13,0.9980258183752906,0.0,0.0,0.0
LSTM,13,13,0.9980258183752906,0.0,0.0,0.0
GCRN,9,3,0.9980772654441872,0.0,0.0,0.0
GCLSTM,9,3,0.9980772654441872,0.0,0.0,0.0
LSTM,9,3,0.9980772654441872,0.0,0.0,0.0
GCRN,8,9,0.9980392156862744,0.0,0.0,0.0
GCLSTM,8,9,0.9980392156862744,0.0,0.0,0.0
LSTM,8,9,0.9980392156862744,0.0,0.0,0.0
GCRN,9,6,0.9980631276901004,0.0,0.0,0.0
GCLSTM,9,6,0.9980631276901004,0.0,0.0,0.0
LSTM,9,6,0.9980631276901004,0.0,0.0,0.0
GCRN,6,4,0.9980683638953176,0.0,0.0,0.0
GCLSTM,6,4,0.9980683638953176,0.0,0.0,0.0
LSTM,6,4,0.9980683638953176,0.0,0.0,0.0
GCRN,1,2,0.9980347429373572,0.0,0.0,0.0
GCLSTM,1,2,0.9980347429373572,0.0,0.0,0.0
LSTM,1,2,0.9980347429373572,0.0,0.0,0.0
GCRN,10,10,0.9980386630532972,0.2,0.0003683241252302,0.000735294117647
GCLSTM,10,10,0.9980379403794036,0.0,0.0,0.0
LSTM,10,10,0.9980379403794036,0.0,0.0,0.0
GCRN,11,14,0.9980212179520516,0.0,0.0,0.0
GCLSTM,11,14,0.9980212179520516,0.0,0.0,0.0
LSTM,11,14,0.9980212179520516,0.0,0.0,0.0
GCRN,5,12,0.9980272596843616,0.0,0.0,0.0
GCLSTM,5,12,0.9980272596843616,0.0,0.0,0.0
LSTM,5,12,0.9980272596843616,0.0,0.0,0.0
GCRN,10,5,0.9980832137733142,0.4,0.0029850746268656,0.0059259259259259
GCLSTM,10,5,0.998077474892396,0.0,0.0,0.0
LSTM,10,5,0.998077474892396,0.0,0.0,0.0
GCRN,4,13,0.998024500606997,0.0,0.0,0.0
GCLSTM,4,13,0.998024500606997,0.0,0.0,0.0
LSTM,4,13,0.998024500606997,0.0,0.0,0.0
GCRN,10,6,0.9980631276901004,0.0,0.0,0.0
GCLSTM,10,6,0.9980631276901004,0.0,0.0,0.0
LSTM,10,6,0.9980631276901004,0.0,0.0,0.0
GCRN,13,14,0.9980212179520516,0.0,0.0,0.0
GCLSTM,13,14,0.9980212179520516,0.0,0.0,0.0
LSTM,13,14,0.9980212179520516,0.0,0.0,0.0
GCRN,9,9,0.9980392156862744,0.0,0.0,0.0
GCLSTM,9,9,0.9980392156862744,0.0,0.0,0.0
LSTM,9,9,0.9980392156862744,0.0,0.0,0.0
GCRN,1,4,0.9980470130788264,0.0,0.0,0.0
GCLSTM,1,4,0.9980470130788264,0.0,0.0,0.0
LSTM,1,4,0.9980470130788264,0.0,0.0,0.0
GCRN,8,7,0.9980528796884608,0.0,0.0,0.0
GCLSTM,8,7,0.9980528796884608,0.0,0.0,0.0
LSTM,8,7,0.9980528796884608,0.0,0.0,0.0
GCRN,8,3,0.9980772654441872,0.0,0.0,0.0
GCLSTM,8,3,0.9980772654441872,0.0,0.0,0.0
LSTM,8,3,0.9980772654441872,0.0,0.0,0.0
GCRN,3,5,0.9980417108518912,0.0,0.0,0.0
GCLSTM,3,5,0.9980417108518912,0.0,0.0,0.0
LSTM,3,5,0.9980417108518912,0.0,0.0,0.0
GCRN,14,2,0.9981922525107604,0.8868686868686868,0.060377358490566,0.1111126342617606
GCLSTM,14,2,0.9980989956958392,0.0,0.0,0.0
LSTM,14,2,0.9981169296987088,0.4530873218852759,0.0679245283018868,0.1159227417987877
GCRN,8,4,0.9980683638953176,0.0,0.0,0.0
GCLSTM,8,4,0.9980683638953176,0.0,0.0,0.0
LSTM,8,4,0.9980683638953176,0.0,0.0,0.0
GCRN,6,3,0.9980558501237188,0.0,0.0,0.0
GCLSTM,6,3,0.9980558501237188,0.0,0.0,0.0
LSTM,6,3,0.9980558501237188,0.0,0.0,0.0
GCRN,13,3,0.9981516021042562,0.7818181818181819,0.0289308176100628,0.0550674399181987
GCLSTM,13,3,0.9981037780966044,0.2,0.0025157232704402,0.0049689440993788
LSTM,13,3,0.998149210903874,0.6797222222222222,0.050314465408805,0.092742576439713
GCRN,14,9,0.9980479775168124,0.4,0.0016427104722792,0.0032686517229842
GCLSTM,14,9,0.9980447656328416,0.0,0.0,0.0
LSTM,14,9,0.9980447656328416,0.0,0.0,0.0
GCRN,4,14,0.9980221356835416,0.0,0.0,0.0
GCLSTM,4,14,0.9980221356835416,0.0,0.0,0.0
LSTM,4,14,0.9980221356835416,0.0,0.0,0.0
GCRN,8,14,0.9980203897277068,0.0,0.0,0.0
GCLSTM,8,14,0.9980203897277068,0.0,0.0,0.0
LSTM,8,14,0.9980203897277068,0.0,0.0,0.0
GCRN,12,6,0.998085844093735,0.775,0.0123456790123456,0.0242394772981707
GCLSTM,12,6,0.9980631276901004,0.0,0.0,0.0
LSTM,12,6,0.9980631276901004,0.0,0.0,0.0
GCRN,9,2,0.9980950685419264,0.6,0.0092592592592592,0.0182151793160967
GCLSTM,9,2,0.9980772654441872,0.0,0.0,0.0
LSTM,9,2,0.9980808260637352,0.2,0.0018518518518518,0.0036697247706422
GCRN,2,5,0.9980417108518912,0.0,0.0,0.0
GCLSTM,2,5,0.9980417108518912,0.0,0.0,0.0
LSTM,2,5,0.9980417108518912,0.0,0.0,0.0
GCRN,4,9,0.9980337467608252,0.0,0.0,0.0
GCLSTM,4,9,0.9980337467608252,0.0,0.0,0.0
LSTM,4,9,0.9980337467608252,0.0,0.0,0.0
GCRN,11,8,0.9980505738880918,0.2,0.0027522935779816,0.0054298642533936
GCLSTM,11,8,0.998045193687231,0.0,0.0,0.0
LSTM,11,8,0.998045193687231,0.0,0.0,0.0
GCRN,6,13,0.998024500606997,0.0,0.0,0.0
GCLSTM,6,13,0.998024500606997,0.0,0.0,0.0
LSTM,6,13,0.998024500606997,0.0,0.0,0.0
GCRN,13,12,0.9980372527605874,0.2,0.0030816640986132,0.0060698027314112
GCLSTM,13,12,0.998031185535736,0.0,0.0,0.0
LSTM,13,12,0.998031185535736,0.0,0.0,0.0
GCRN,1,11,0.9980287115412628,0.0,0.0,0.0
GCLSTM,1,11,0.9980287115412628,0.0,0.0,0.0
LSTM,1,11,0.9980287115412628,0.0,0.0,0.0
GCRN,9,13,0.998023764853033,0.0,0.0,0.0
GCLSTM,9,13,0.998023764853033,0.0,0.0,0.0
LSTM,9,13,0.998023764853033,0.0,0.0,0.0
GCRN,4,3,0.9980558501237188,0.0,0.0,0.0
GCLSTM,4,3,0.9980558501237188,0.0,0.0,0.0
LSTM,4,3,0.9980558501237188,0.0,0.0,0.0
GCRN,14,3,0.9981324725011956,0.7777777777777778,0.0188679245283018,0.0363325140672433
GCLSTM,14,3,0.9980989956958392,0.0,0.0,0.0
LSTM,14,3,0.9980989956958392,0.0,0.0,0.0
GCRN,8,2,0.9980879473028308,0.4,0.0055555555555555,0.0109424520433694
