Identificador,tipo_grafo,RMSE,MAE,R2
GCRN_k1_h256_lags11_out2_alpha0.01,grafo_original,1.0021439156863838,0.0976587403002917,0.5437197930138427
GCLSTM_k1_h256_lags11_out2_alpha0.01,grafo_original,1.0112949211407745,0.0971741003104228,0.5353683039706043
LSTM_k1_h256_lags11_out2_alpha0.01,grafo_original,0.9294748009014232,0.1043546328513235,0.6074902474642488
GCRN_k1_h256_lags8_out5_alpha0.01,grafo_original,1.1312982859549645,0.1128118727158545,0.4259074473689222
GCLSTM_k1_h256_lags8_out5_alpha0.01,grafo_original,1.140914199794508,0.1130519619645276,0.4161106905913033
LSTM_k1_h256_lags8_out5_alpha0.01,grafo_original,1.1993364608051462,0.1176742792413641,0.3547714705963499
GCRN_k1_h256_lags5_out11_alpha0.01,grafo_original,1.3362657210351951,0.1425348986904998,0.2117959715368806
GCLSTM_k1_h256_lags5_out11_alpha0.01,grafo_original,1.3433082095874904,0.1427322686094995,0.2034698047539
LSTM_k1_h256_lags5_out11_alpha0.01,grafo_original,1.34426602847823,0.1378235413836541,0.2023400248177005
GCRN_k1_h256_lags6_out12_alpha0.01,grafo_original,1.3414293647247084,0.1383573599490785,0.2074503489657578
GCLSTM_k1_h256_lags6_out12_alpha0.01,grafo_original,1.350574648202371,0.1401245541493945,0.196610309555179
LSTM_k1_h256_lags6_out12_alpha0.01,grafo_original,1.3512497671045205,0.1303538036653969,0.1958080725849061
GCRN_k1_h256_lags13_out13_alpha0.01,grafo_original,1.3584575711543827,0.1286383309443952,0.1879172185026036
GCLSTM_k1_h256_lags13_out13_alpha0.01,grafo_original,1.3677559527041947,0.1300073376612305,0.1767603009204182
LSTM_k1_h256_lags13_out13_alpha0.01,grafo_original,1.364430574861114,0.1328937219082314,0.1807583323110632
GCRN_k1_h256_lags9_out3_alpha0.01,grafo_original,1.0380315109198546,0.1039862290749273,0.5113324036386516
GCLSTM_k1_h256_lags9_out3_alpha0.01,grafo_original,1.0477962408265626,0.1028512694306715,0.5020892412710015
LSTM_k1_h256_lags9_out3_alpha0.01,grafo_original,1.0842480937041576,0.1089551251864759,0.4668520088542509
GCRN_k1_h256_lags8_out9_alpha0.01,grafo_original,1.262738550223555,0.1242203940106038,0.2922001422570753
GCLSTM_k1_h256_lags8_out9_alpha0.01,grafo_original,1.27210823017907,0.1259430097093513,0.2816647451646067
LSTM_k1_h256_lags8_out9_alpha0.01,grafo_original,1.3116438332416138,0.1255567360020955,0.2363212140741422
GCRN_k1_h256_lags9_out6_alpha0.01,grafo_original,1.170236139661522,0.1135421085431357,0.3841131714193008
GCLSTM_k1_h256_lags9_out6_alpha0.01,grafo_original,1.177342715354746,0.1143886020169292,0.3766195158644706
LSTM_k1_h256_lags9_out6_alpha0.01,grafo_original,1.218887908905726,0.1195837761037446,0.3318255194881104
GCRN_k1_h256_lags6_out4_alpha0.01,grafo_original,1.0858099479739358,0.1127211751465749,0.4674311576871579
GCLSTM_k1_h256_lags6_out4_alpha0.01,grafo_original,1.0912251943272475,0.111391972860083,0.4621084290036574
LSTM_k1_h256_lags6_out4_alpha0.01,grafo_original,1.1324919959702038,0.1144282091108926,0.420304071598586
GCRN_k1_h256_lags1_out2_alpha0.01,grafo_original,1.2871427417183656,0.1640238784086208,0.2699589233744987
GCLSTM_k1_h256_lags1_out2_alpha0.01,grafo_original,1.4292961690700765,0.1795893482179749,0.0364430968241915
LSTM_k1_h256_lags1_out2_alpha0.01,grafo_original,1.112430429031798,0.136179697827374,0.4553965172311165
GCRN_k1_h256_lags10_out10_alpha0.01,grafo_original,1.2909724955446091,0.1248676481875693,0.2606762964057958
GCLSTM_k1_h256_lags10_out10_alpha0.01,grafo_original,1.3000019347084848,0.1252782510468352,0.2502958144797344
LSTM_k1_h256_lags10_out10_alpha0.01,grafo_original,1.3185911649847737,0.1286382542730989,0.2286961792742999
GCRN_k1_h256_lags11_out14_alpha0.01,grafo_original,1.3677832854553045,0.1327378931175274,0.1789801381520326
GCLSTM_k1_h256_lags11_out14_alpha0.01,grafo_original,1.3738031028705655,0.133600185865599,0.1717368648597696
LSTM_k1_h256_lags11_out14_alpha0.01,grafo_original,1.376197454401583,0.1335148731601114,0.1688455132446343
GCRN_k1_h256_lags5_out12_alpha0.01,grafo_original,1.361590187245456,0.1455766836832335,0.1834484284615801
GCLSTM_k1_h256_lags5_out12_alpha0.01,grafo_original,1.3692626777136414,0.147051410227008,0.1742176002032949
LSTM_k1_h256_lags5_out12_alpha0.01,grafo_original,1.360097887780825,0.1400264649419251,0.1852411425317004
