param_config,K,hidden_channel,model,lag,out,num_reps_found,RMSE_mean,RMSE_std,RMSE_min,RMSE_max,MAE_mean,MAE_std,MAE_min,MAE_max
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,95.70793372845768,0.06623080798203773,591.2075240830505,591.3399856990146,3.8418417264143065,0.009694171437161003,7.682381469900169,7.701769812774491
K1_hc64_lag7_out7,1,64,GCRN,7,7,2,95.16333969498103,0.14181384339934766,590.8114381534187,591.0950658402174,3.9089467635892294,0.05355603143404686,7.717815744564186,7.82492780743228
K1_hc128_lag7_out7,1,128,GCRN,7,7,2,92.57435024279268,0.09015752034190427,589.7393537440753,589.9196687847591,3.9525000947021622,0.021229604031241855,7.792001086106361,7.834460294168845
K1_hc256_lag7_out7,1,256,GCRN,7,7,2,89.39710053338013,0.008408252571427965,588.306273670782,588.3230901759249,3.8781029703395973,0.031582201040129654,7.683806543413879,7.746970945494138
K2_hc32_lag7_out7,2,32,GCRN,7,7,2,93.99708904463634,0.009003236208570797,590.7940138659338,590.812020338351,3.928076011490933,0.007002410014771421,7.846209117619223,7.860213937648766
K2_hc64_lag7_out7,2,64,GCRN,7,7,2,90.60004997272259,0.457323669032462,589.9880375607794,590.9026848988443,3.775840722974932,0.005661053138163119,7.686825803457286,7.6981479097336125
K2_hc128_lag7_out7,2,128,GCRN,7,7,2,90.69133002265475,0.24024365418921434,589.1399841378229,589.6204714462013,3.8133932058376283,0.00579244658357192,7.731973774986258,7.743558668153402
K2_hc256_lag7_out7,2,256,GCRN,7,7,2,87.6677425449663,0.03864831872363084,587.8537194888085,587.9310161262557,3.7534015447775957,0.040685294766669156,7.6221606273013895,7.703531216834728
K3_hc32_lag7_out7,3,32,GCRN,7,7,2,94.4327956501691,0.3835789805444847,590.7801436328242,591.5473015939132,3.8716830659587336,0.04077680368211167,7.782974676979838,7.864528284344061
K3_hc64_lag7_out7,3,64,GCRN,7,7,2,92.7844813315221,0.21460554104311313,590.7327623906782,591.1619734727644,3.7546846512502388,0.012451726237694416,7.6751574052304115,7.7000608577058
K3_hc128_lag7_out7,3,128,GCRN,7,7,2,91.8619418662411,0.09178268767959707,590.3462915913075,590.5298569666667,3.6892543535074567,0.033176001779096964,7.614989860185254,7.681341863743448
K3_hc256_lag7_out7,3,256,GCRN,7,7,2,87.99471577376397,0.32551451675942644,588.4992570073805,589.1502860408993,3.575976140833856,0.007747189810411115,7.498925261585172,7.514419641205994
K4_hc32_lag7_out7,4,32,GCRN,7,7,2,94.72722983491394,0.31780328186761153,591.233676301705,591.8692828654403,3.8816843874683142,0.05537295090746719,7.785069572991508,7.895815474806442
