param_config,K,hidden_channel,model,lag,out,num_reps_found,RMSE_mean,RMSE_std,RMSE_min,RMSE_max,MAE_mean,MAE_std,MAE_min,MAE_max
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,1.0318482130431188,0.020179128424796522,1.2808400483993534,1.3211983052489464,0.11166591824307671,0.0002862631761166301,0.13447406561582417,0.13504659196805743
K1_hc64_lag7_out7,1,64,GCRN,7,7,2,1.0251771740010567,0.005391507475718371,1.284138498557157,1.2949215135085936,0.11680718430686904,0.00015696133789808164,0.13408873501489815,0.13440265769069432
K1_hc128_lag7_out7,1,128,GCRN,7,7,2,0.9716432040714512,0.0006512649431437145,1.2419242225090183,1.2432267523953058,0.10741365866116907,0.0011955020589805576,0.12840461014138918,0.1307956142593503
K1_hc256_lag7_out7,1,256,GCRN,7,7,2,0.938233283758858,0.0019833931440498276,1.2098236192065743,1.213790405494674,0.09955928597497518,5.544274218665518e-05,0.1221854512111087,0.12229633669548201
K2_hc32_lag7_out7,2,32,GCRN,7,7,2,3.3776255560938115,0.10299502280250872,3.600532998919729,3.8065230445247464,0.20425079727016246,0.004115450276748617,0.23215437574259767,0.2403852762960949
K2_hc64_lag7_out7,2,64,GCRN,7,7,2,3.6681313174325223,0.23218853878856138,3.7007702735143044,4.165147351091427,0.20816172969861593,0.00907724717006736,0.23117058920569372,0.24932508354582844
K2_hc128_lag7_out7,2,128,GCRN,7,7,2,3.4448706402624936,0.17942762963240733,3.4540409978333146,3.8128962570981293,0.20295265695250006,0.007608146670588886,0.22007467375111553,0.2352909670922933
K2_hc256_lag7_out7,2,256,GCRN,7,7,2,3.629341105049087,0.05409287724642642,3.6993675940725947,3.8075533485654476,0.20822098047071766,0.003913683148879493,0.22499271914141683,0.23282008543917582
K3_hc32_lag7_out7,3,32,GCRN,7,7,2,6.462392125322529,0.42463154691619565,6.735102460491714,7.584365554324105,0.5078341184365828,0.01459598249359445,0.5208257460796551,0.550017711066844
K3_hc64_lag7_out7,3,64,GCRN,7,7,2,6.840805248984673,0.24168841972006794,6.993947215670064,7.4773240551102,0.5161636799656321,0.02625152177102702,0.5099193776520297,0.5624224211940837
K3_hc128_lag7_out7,3,128,GCRN,7,7,2,4.904140445992824,0.08148020528635502,5.199892697102168,5.362853107674878,0.3328981688872847,0.005141388311666828,0.36137570778322703,0.3716584844065607
K3_hc256_lag7_out7,3,256,GCRN,7,7,2,3.8279046359159943,0.16540859035618705,3.9258325936562275,4.256649774368602,0.2574237455640543,0.006640566263936748,0.2784868726761648,0.2917680052040383
K4_hc32_lag7_out7,4,32,GCRN,7,7,2,16.89896492594233,0.4189262423986211,17.850937987657158,18.6887904724544,1.2264792840834764,0.04925884254645585,1.2029873869491778,1.3015050720420895
K4_hc64_lag7_out7,4,64,GCRN,7,7,2,16.891782600475867,1.762105753635705,16.471236756843755,19.995448264115165,1.1519976443769764,0.14102036710307086,1.0407050668505704,1.3227458010567121
K4_hc128_lag7_out7,4,128,GCRN,7,7,2,17.516295116060785,1.7011478579568529,16.54400592408845,19.946301640002154,1.088358658841693,0.09266070485052258,1.0234889731268235,1.2088103828278687
K4_hc256_lag7_out7,4,256,GCRN,7,7,2,14.500277135112466,0.8466692681052486,14.278747813270964,15.972086349481462,0.8252938237247353,0.04346891814087073,0.8222356346022548,0.9091734708839962
K1_hc32_lag7_out7,1,32,GCLSTM,7,7,2,1.108824362690004,0.008823665336038955,1.3547567766334214,1.3724041073054993,0.114586801483015,0.0027930874009750306,0.12989919151060506,0.13548536631255512
K1_hc64_lag7_out7,1,64,GCLSTM,7,7,2,1.0256552795590446,0.005330160240994863,1.2833902619253539,1.2940505824073436,0.10577365994318803,0.0009811532274772022,0.1286256887160715,0.1305879951710259
K1_hc128_lag7_out7,1,128,GCLSTM,7,7,2,0.9848082077540486,0.0025331738265073067,1.2498826051526137,1.2549489528056283,0.10552098982239487,0.00033583080608991234,0.12864116032504544,0.12931282193722526
K1_hc256_lag7_out7,1,256,GCLSTM,7,7,2,0.9487634121688522,0.0014450729168288268,1.2176708411317447,1.2205609869654024,0.09924201769357185,0.00038987175820016234,0.1222599000921484,0.12303964360854873
K2_hc32_lag7_out7,2,32,GCLSTM,7,7,2,2.7546677664607877,0.033435984052558876,2.959435939916824,3.0263079080219417,0.18722834282455403,0.00017493029377611824,0.20885881557520183,0.20920867616275407
K2_hc64_lag7_out7,2,64,GCLSTM,7,7,2,2.702770033566313,0.02659222648777293,2.8813467479892503,2.934531200964796,0.17469505794510531,0.0038446193444509613,0.19380429290366832,0.20149353159257025
K2_hc128_lag7_out7,2,128,GCLSTM,7,7,2,2.9953417478633155,0.03500862664143667,3.1043444084376675,3.174361661720541,0.18552633356380763,0.000348581370919393,0.2048567766896892,0.205553939431528
K2_hc256_lag7_out7,2,256,GCLSTM,7,7,2,2.798802821981329,0.043314469596336336,2.8873443840166986,2.9739733232093712,0.17660422813909354,0.0019342897229124578,0.1945671385514217,0.1984357179972466
K3_hc32_lag7_out7,3,32,GCLSTM,7,7,2,5.371114200645565,0.18185389212979963,5.516124104952415,5.8798318892120145,0.4573239992716728,0.009655857106932286,0.46594470503406976,0.48525641924793433
K3_hc64_lag7_out7,3,64,GCLSTM,7,7,2,5.432124341644254,0.22731649691931288,5.583707615791397,6.038340609630023,0.45470243460187115,0.0025587491964669806,0.47272096792625007,0.47783846631918403
K3_hc128_lag7_out7,3,128,GCLSTM,7,7,2,3.833435582510075,0.0652551559499126,4.039783955334517,4.170294267234342,0.30379052347256524,0.022412363103765407,0.3047437863946543,0.34956851260218513
K3_hc256_lag7_out7,3,256,GCLSTM,7,7,2,3.365579508485539,0.09365960767952153,3.474426792062401,3.661746007421444,0.24993840278930687,0.01245520116729884,0.2610524905592895,0.28596289289388716
K4_hc32_lag7_out7,4,32,GCLSTM,7,7,2,10.308622859789054,0.4207616100762177,10.794454968352348,11.635978188504783,0.8105456140504761,0.021360110167401913,0.8091131524342563,0.8518333727690601
K4_hc64_lag7_out7,4,64,GCLSTM,7,7,2,11.44003283840756,0.04467190539028909,12.043623640129013,12.132967450909591,0.7900236371439096,0.0146367457955201,0.8124705275091993,0.8417440191002395
K4_hc128_lag7_out7,4,128,GCLSTM,7,7,2,11.963393990738806,0.5273327407887516,12.057239393133752,13.111904874711255,0.7564640741393512,0.03481383905123825,0.7662775016387646,0.8359051797412411
K4_hc256_lag7_out7,4,256,GCLSTM,7,7,2,11.766153585713788,0.705634513173214,11.463901524676984,12.875170551023412,0.6999801833920856,0.043473752491024586,0.6881345589055441,0.7750820638875933
K1_hc32_lag7_out7,1,32,LSTM,7,7,2,1.104835515167314,0.0011953690172472609,1.360056869786724,1.3624476078212184,0.13952464750028107,0.0010736962924221827,0.15663375213523906,0.15878114472008342
K1_hc64_lag7_out7,1,64,LSTM,7,7,2,1.0306280548207447,0.026543609846028327,1.2762955319536742,1.3293827516457308,0.12358289871901941,0.006782661563768069,0.13782509621206668,0.15139041933960282
K1_hc128_lag7_out7,1,128,LSTM,7,7,2,0.9995196246253495,0.0031449898730975256,1.2604166228346352,1.2667066025808302,0.10841917080824667,0.001591070878115608,0.12580102893675585,0.12898317069298706
K1_hc256_lag7_out7,1,256,LSTM,7,7,2,1.0191940045878087,0.0023917644178423902,1.2750699955646316,1.2798535244003164,0.10449082902739737,0.0007376063897464452,0.12269012774486857,0.12416534052436146
K2_hc32_lag7_out7,2,32,LSTM,7,7,2,1.104835515167314,0.0011953690172472609,1.360056869786724,1.3624476078212184,0.13952464750028107,0.0010736962924221827,0.15663375213523906,0.15878114472008342
K2_hc64_lag7_out7,2,64,LSTM,7,7,2,1.0306280548207447,0.026543609846028327,1.2762955319536742,1.3293827516457308,0.12358289871901941,0.006782661563768069,0.13782509621206668,0.15139041933960282
K2_hc128_lag7_out7,2,128,LSTM,7,7,2,0.9995196246253495,0.0031449898730975256,1.2604166228346352,1.2667066025808302,0.10841917080824667,0.001591070878115608,0.12580102893675585,0.12898317069298706
K2_hc256_lag7_out7,2,256,LSTM,7,7,2,1.0191940045878087,0.0023917644178423902,1.2750699955646316,1.2798535244003164,0.10449082902739737,0.0007376063897464452,0.12269012774486857,0.12416534052436146
K3_hc32_lag7_out7,3,32,LSTM,7,7,2,1.104835515167314,0.0011953690172472609,1.360056869786724,1.3624476078212184,0.13952464750028107,0.0010736962924221827,0.15663375213523906,0.15878114472008342
K3_hc64_lag7_out7,3,64,LSTM,7,7,2,1.0306280548207447,0.026543609846028327,1.2762955319536742,1.3293827516457308,0.12358289871901941,0.006782661563768069,0.13782509621206668,0.15139041933960282
K3_hc128_lag7_out7,3,128,LSTM,7,7,2,0.9995196246253495,0.0031449898730975256,1.2604166228346352,1.2667066025808302,0.10841917080824667,0.001591070878115608,0.12580102893675585,0.12898317069298706
K3_hc256_lag7_out7,3,256,LSTM,7,7,2,1.0191940045878087,0.0023917644178423902,1.2750699955646316,1.2798535244003164,0.10449082902739737,0.0007376063897464452,0.12269012774486857,0.12416534052436146
K4_hc32_lag7_out7,4,32,LSTM,7,7,2,1.104835515167314,0.0011953690172472609,1.360056869786724,1.3624476078212184,0.13952464750028107,0.0010736962924221827,0.15663375213523906,0.15878114472008342
K4_hc64_lag7_out7,4,64,LSTM,7,7,2,1.0306280548207447,0.026543609846028327,1.2762955319536742,1.3293827516457308,0.12358289871901941,0.006782661563768069,0.13782509621206668,0.15139041933960282
K4_hc128_lag7_out7,4,128,LSTM,7,7,2,0.9995196246253495,0.0031449898730975256,1.2604166228346352,1.2667066025808302,0.10841917080824667,0.001591070878115608,0.12580102893675585,0.12898317069298706
K4_hc256_lag7_out7,4,256,LSTM,7,7,2,1.0191940045878087,0.0023917644178423902,1.2750699955646316,1.2798535244003164,0.10449082902739737,0.0007376063897464452,0.12269012774486857,0.12416534052436146
K1_hc32_lag7_out14,1,32,GCRN,7,14,2,1.0095006223038843,0.013437884380984144,1.416779196094323,1.4436549648562913,0.12093813317915568,0.0017120231501101396,0.1437838825881886,0.1472079288884089
K1_hc64_lag7_out14,1,64,GCRN,7,14,2,0.9801297194527502,0.000619952049664918,1.3965818197874116,1.3978217238867414,0.11712655691830418,0.000836780675930418,0.14403414062052167,0.1457077019723825
K1_hc128_lag7_out14,1,128,GCRN,7,14,2,0.9718430415521541,0.0002563805559643306,1.3842690842268779,1.3847818453388065,0.11433322424558308,0.0018015065536764185,0.14071243231230662,0.14431544541965946
K1_hc256_lag7_out14,1,256,GCRN,7,14,2,0.9526353059064547,0.0014512878839211263,1.3659210169504508,1.368823592718293,0.10912653035116826,0.00011403035679710682,0.13879975312364795,0.13902781383724216
K2_hc32_lag7_out14,2,32,GCRN,7,14,2,3.728493125522163,0.2411025072980415,3.9595204847982277,4.441725499394311,0.21917826587575248,0.004771915930655873,0.2531525685625489,0.26269640042386067
K2_hc64_lag7_out14,2,64,GCRN,7,14,2,3.6847193934523057,0.15182948195503743,4.017636743331647,4.321295707241722,0.2186030500430187,0.002223930634701471,0.2509494812260357,0.25539734249543866
K2_hc128_lag7_out14,2,128,GCRN,7,14,2,3.7312514189084713,0.3427063941786812,3.7909595416438946,4.476372330001257,0.2305597696554025,0.009721381732458359,0.24991074227946372,0.26935350574438044
K2_hc256_lag7_out14,2,256,GCRN,7,14,2,3.503828708399591,0.0075655311058888675,3.7944574115996708,3.8095884738114485,0.22048449043054494,0.002733371971497242,0.24486133022371062,0.2503280741667051
K3_hc32_lag7_out14,3,32,GCRN,7,14,2,4.855518641909321,0.2831909769574734,5.812895157456153,6.3792771113711,0.3912790433482964,0.02573237405517151,0.42396399931692713,0.47542874742727015
K3_hc64_lag7_out14,3,64,GCRN,7,14,2,4.802728714470066,0.06899819424387488,5.735602718008034,5.873599106495783,0.39993717404122403,0.010064098017485479,0.4235475825388537,0.4436757785738247
