param_config,K,hidden_channel,model,lag,out,num_reps_found_for_config,node_id,RMSE,MAE
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,0,0.0011215500940909826,0.0008987764125720031
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,1,0.0032759123230084223,0.0026673246180941904
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,2,0.003322267131742922,0.003140624846072387
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,3,0.002338764563767217,0.002200189836524471
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,4,0.0016084690985714177,0.0015272125405242389
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,5,0.002338764563767217,0.002200189836524471
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,6,0.19479942744141282,0.038214951865667424
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,7,0.000671775513814544,0.0005487567261557105
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,8,0.0023218195396703645,0.001957560580332123
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,9,0.008487468048905801,0.007164061779315753
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,10,0.001483600825601243,0.0013911068355755482
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,11,0.00047156617021976784,0.00039322696931610307
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,12,0.009125255285413301,0.007862767170512432
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,13,0.00234706518174514,0.001918473629654052
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,14,0.02181681294486196,0.019636158685634664
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,15,0.007945463265378526,0.006880921583148275
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,16,0.27204554565632627,0.11167211775516053
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,17,0.0018481938838044388,0.0016877230494813827
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,18,0.2810921144642422,0.05082235000434336
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,19,0.0014351449070500195,0.0013120906192884488
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,20,0.002375522467226553,0.0022022830661024406
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,21,1.6398262110230544,1.155959089879469
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,22,0.001829633767959338,0.0014839387017088542
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,23,0.0008938798510401742,0.0007816467228047718
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,24,0.0008684023532955752,0.0007162717224340971
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,25,0.0009762352918350556,0.0008297522368971687
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,26,7.386038866655162,2.1671055767002603
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,27,0.0018113950172214432,0.0016352010069879868
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,28,0.001576684466399262,0.0013371618758860687
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,29,0.004358318350741891,0.0037663892984881736
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,30,0.00094639687303499,0.0007793771177142387
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,31,0.002266742952821178,0.0019512531786401348
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,32,0.5802946757900936,0.4156300773421853
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,33,0.1705561560329688,0.1372745887090912
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,34,0.000712259421559508,0.000581538465947842
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,35,0.8609494418933954,0.6894178015097151
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,36,0.0016084690985714192,0.0015272125405242404
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,37,0.0018481938838044388,0.0016877230494813827
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,38,0.019585307012214427,0.017408915277626894
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,39,0.0038596344254029327,0.0032647883304283074
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,40,0.00434484911533117,0.0037249041090295326
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,41,0.09243708420307876,0.016745719345934173
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,42,2.9752861656368634,2.27568982901481
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,43,0.004140223823677507,0.0038858891198174615
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,44,0.0013055925462245514,0.0010560931102520249
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,45,0.001377870422631809,0.0011246462193670627
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,46,0.13677539543694894,0.037156408815745785
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,47,0.0011514014257581057,0.0009413567858253372
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,48,0.49488966074701357,0.06263920603023455
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,49,0.000694055106344281,0.0005205382037863915
K1_hc32_lag7_out7,1,32,GCRN,7,7,2,50,0.0006836038474243265,0.0005793255077112152
